num_attackers,rps_per_worker,planned_total_rps,num_targets,total_requests,elapsed_time_s,real_rps,errors
4,0.75,3.0,1,,,,
,0.75,,,30,46.408,0.646,0
,0.75,,,31,46.413,0.668,0
,0.75,,,41,46.906,0.874,0
,0.75,,,32,47.094,0.679,0
4,0.75,3.0,2,,,,
,0.75,,,23,28.355,0.811,0
,0.75,,,18,28.356,0.635,0
,0.75,,,21,29.299,0.717,0
4,0.75,3.0,1,,,,
,0.75,,,18,29.786,0.604,1
,0.75,,,33,40.767,0.809,0
,0.75,,,26,41.069,0.633,0
4,0.75,3.0,2,,,,
,0.75,,,21,21.029,0.999,0
,0.75,,,55,63.589,0.865,0
,0.75,,,24,21.858,1.098,0
,0.75,,,24,21.958,1.093,0
,0.75,,,13,22.258,0.584,0
,0.75,,,50,65.724,0.761,0
