num_attackers,rps_per_worker,planned_total_rps,num_targets,total_requests,elapsed_time_s,real_rps,errors
2,6.0,12.0,1,,,,
,6.0,,,41,6.561,6.249,0
,6.0,,,36,6.806,5.289,0
2,6.0,12.0,2,,,,
,6.0,,,109,19.145,5.693,0
,6.0,,,116,19.487,5.953,0
2,6.0,12.0,3,,,,
,6.0,,,255,42.854,5.95,0
,6.0,,,243,42.954,5.657,0
2,6.0,12.0,2,,,,
,6.0,,,158,24.718,6.392,0
,6.0,,,134,24.815,5.4,0
2,6.0,12.0,3,,,,
,6.0,,,146,23.144,6.308,0
,6.0,,,151,23.313,6.477,0
2,6.0,12.0,2,,,,
,6.0,,,94,14.769,6.365,0
,6.0,,,102,15.0,6.8,0
2,6.0,12.0,3,,,,
,6.0,,,25,2.529,9.885,0
,6.0,,,16,2.536,6.31,0
