elapsed_time_s,num_instances,average_cpu_percent,mem_usage,avg_rtt_ms,decision,active_containers_names,label,host_cpu_percent
0.03,1,0.0,0.0,0.0,NO_ACTION,,normal,0.0
5.0,1,25.83,22.62,25.83,NO_ACTION,target_instance_1,normal,11.8
10.0,1,19.82,22.63,25.2,NO_ACTION,target_instance_1,normal,10.66
15.0,1,19.34,22.96,23.64,NO_ACTION,target_instance_1,normal,12.24
20.0,1,23.23,22.93,26.09,NO_ACTION,target_instance_1,normal,12.62
25.0,2,228.57,28.93,849.93,SCALE_UP,target_instance_1,attack,44.65
30.0,2,195.95,29.06,670.84,NO_ACTION,target_instance_1,attack,37.36
35.0,2,106.59,21.73,298.97,NO_ACTION,"target_instance_1,target_instance_2",attack,37.79
40.0,2,104.11,21.37,250.35,NO_ACTION,"target_instance_1,target_instance_2",attack,36.98
45.0,3,67.02,19.32,125.05,SCALE_UP,"target_instance_1,target_instance_2",attack,34.77
50.0,3,101.56,21.38,190.86,NO_ACTION,"target_instance_1,target_instance_2",attack,28.69
55.0,3,64.33,19.23,237.36,NO_ACTION,"target_instance_1,target_instance_2,target_instance_3",attack,36.74
60.0,3,58.59,19.41,108.37,NO_ACTION,"target_instance_1,target_instance_2,target_instance_3",attack,29.55
65.0,3,44.9,19.33,110.59,NO_ACTION,"target_instance_1,target_instance_2,target_instance_3",attack,29.61
70.0,4,65.32,19.33,128.45,SCALE_UP,"target_instance_1,target_instance_2,target_instance_3",attack,39.84
75.0,4,65.32,19.33,321.97,NO_ACTION,"target_instance_1,target_instance_2,target_instance_3",attack,27.57
80.0,4,60.73,19.3,120.44,NO_ACTION,"target_instance_1,target_instance_2,target_instance_3",attack,28.83
85.0,4,47.5,18.22,164.11,NO_ACTION,"target_instance_4,target_instance_1,target_instance_2,target_instance_3",attack,35.84
90.0,4,47.5,18.22,121.64,NO_ACTION,"target_instance_4,target_instance_1,target_instance_2,target_instance_3",attack,26.83
95.0,4,50.02,18.23,127.01,NO_ACTION,"target_instance_4,target_instance_1,target_instance_2,target_instance_3",attack,32.21
100.0,4,50.02,18.23,96.39,NO_ACTION,"target_instance_4,target_instance_1,target_instance_2,target_instance_3",attack,25.6
105.0,3,21.74,18.16,131.97,SCALE_DOWN,"target_instance_4,target_instance_1,target_instance_2,target_instance_3",attack,30.25
111.83,3,41.45,19.31,131.82,NO_ACTION,"target_instance_1,target_instance_2,target_instance_3",attack,31.43
115.0,3,41.45,19.31,220.34,NO_ACTION,"target_instance_1,target_instance_2,target_instance_3",attack,40.07
120.0,3,48.38,19.39,129.93,NO_ACTION,"target_instance_1,target_instance_2,target_instance_3",attack,31.8
125.0,3,34.88,19.32,151.42,NO_ACTION,"target_instance_1,target_instance_2,target_instance_3",attack,32.81
130.0,3,45.32,19.24,122.53,NO_ACTION,"target_instance_1,target_instance_2,target_instance_3",attack,28.49
135.0,3,45.32,19.24,162.69,NO_ACTION,"target_instance_1,target_instance_2,target_instance_3",attack,33.23
140.0,3,58.87,19.28,131.57,NO_ACTION,"target_instance_1,target_instance_2,target_instance_3",attack,33.22
145.0,3,52.85,19.28,133.52,NO_ACTION,"target_instance_1,target_instance_2,target_instance_3",attack,30.25
150.0,4,61.09,19.28,115.2,SCALE_UP,"target_instance_1,target_instance_2,target_instance_3",attack,35.78
155.0,4,62.45,19.48,343.45,NO_ACTION,"target_instance_1,target_instance_2,target_instance_3",attack,39.41
160.0,4,46.85,18.35,445.92,NO_ACTION,"target_instance_5,target_instance_1,target_instance_2,target_instance_3",attack,40.1
165.0,4,3.89,18.17,58.3,NO_ACTION,"target_instance_5,target_instance_1,target_instance_2,target_instance_3",normal,15.72
170.0,3,3.9,18.17,27.76,SCALE_DOWN,"target_instance_5,target_instance_1,target_instance_2,target_instance_3",normal,14.22
175.94,3,9.45,19.24,24.48,NO_ACTION,"target_instance_1,target_instance_2,target_instance_3",normal,25.81
