num_attackers,rps_per_worker,planned_total_rps,num_targets,total_requests,elapsed_time_s,real_rps,errors
4,5.0,20.0,1,,,,
,5.0,,,33,6.346,5.2,0
,5.0,,,31,6.655,4.658,0
,5.0,,,30,6.763,4.436,0
,5.0,,,31,6.822,4.544,0
4,5.0,20.0,2,,,,
4,5.0,20.0,3,,,,
,5.0,,,50,21.148,2.364,50
,5.0,,,54,21.391,2.524,50
,5.0,,,51,21.402,2.383,56
,5.0,,,45,21.429,2.1,44
,5.0,,,102,19.734,5.169,0
4,5.0,20.0,4,,,,
,5.0,,,0,20.459,0.0,87
,5.0,,,0,20.622,0.0,104
,5.0,,,0,20.665,0.0,95
,5.0,,,114,91.612,1.244,301
,5.0,,,353,93.026,3.795,95
,5.0,,,383,93.05,4.116,94
,5.0,,,266,93.407,2.848,157
