elapsed_time_s,num_instances,average_cpu_percent,mem_usage,avg_rtt_ms,decision,active_containers_names,label,host_cpu_percent
0.01,1,0.0,0.0,0.0,NO_ACTION,,normal,0.0
5.0,1,0.01,14.96,0.0,NO_ACTION,target_instance_1,normal,0.7
10.0,1,0.02,14.95,0.0,NO_ACTION,target_instance_1,normal,0.68
15.0,1,0.02,14.95,0.0,NO_ACTION,target_instance_1,normal,1.2
20.0,1,0.01,14.95,0.0,NO_ACTION,target_instance_1,normal,0.65
25.0,1,35.17,22.13,36.26,NO_ACTION,target_instance_1,attack,8.26
30.0,1,52.59,22.73,34.11,NO_ACTION,target_instance_1,attack,8.82
35.0,1,38.27,22.36,32.53,NO_ACTION,target_instance_1,attack,8.32
40.0,1,51.74,22.6,28.61,NO_ACTION,target_instance_1,attack,8.53
45.0,1,53.63,22.68,34.7,NO_ACTION,target_instance_1,attack,8.83
50.0,1,42.3,22.67,31.11,NO_ACTION,target_instance_1,attack,7.3
55.0,1,36.83,22.69,28.74,NO_ACTION,target_instance_1,attack,8.64
60.0,1,57.04,22.57,31.59,NO_ACTION,target_instance_1,attack,8.17
65.0,1,40.38,22.83,36.22,NO_ACTION,target_instance_1,attack,10.09
70.0,1,44.9,22.52,30.63,NO_ACTION,target_instance_1,attack,6.52
75.0,1,38.34,22.72,39.12,NO_ACTION,target_instance_1,attack,9.13
80.0,2,62.37,22.84,39.75,SCALE_UP,target_instance_1,attack,20.64
85.0,2,77.86,22.46,165.22,NO_ACTION,target_instance_1,attack,14.24
90.0,2,28.76,22.45,42.13,NO_ACTION,"target_instance_1,target_instance_2",attack,10.57
95.0,2,26.75,22.32,38.11,NO_ACTION,"target_instance_1,target_instance_2",attack,11.6
100.0,1,19.59,22.32,33.63,SCALE_DOWN,"target_instance_1,target_instance_2",attack,9.19
106.77,1,32.47,22.75,36.92,NO_ACTION,target_instance_1,attack,38.89
110.0,1,28.97,22.94,40.63,NO_ACTION,target_instance_1,attack,11.24
115.0,1,75.67,22.9,43.04,NO_ACTION,target_instance_1,attack,11.31
120.0,1,49.89,22.98,28.55,NO_ACTION,target_instance_1,attack,7.85
125.0,1,39.32,22.9,40.12,NO_ACTION,target_instance_1,attack,9.75
130.0,1,47.9,23.23,37.51,NO_ACTION,target_instance_1,attack,9.9
135.0,2,73.38,23.16,48.86,SCALE_UP,target_instance_1,attack,14.17
140.0,2,51.86,22.8,36.76,NO_ACTION,target_instance_1,attack,9.23
145.0,2,28.76,22.49,32.77,NO_ACTION,"target_instance_1,target_instance_3",attack,9.17
150.0,2,19.52,22.46,32.37,NO_ACTION,"target_instance_1,target_instance_3",attack,8.47
155.0,2,27.55,22.55,34.75,NO_ACTION,"target_instance_1,target_instance_3",attack,11.42
160.0,1,21.16,22.5,32.61,SCALE_DOWN,"target_instance_1,target_instance_3",attack,10.67
165.78,1,14.34,22.64,0.0,NO_ACTION,target_instance_1,normal,4.76
170.0,1,0.1,22.44,0.0,NO_ACTION,target_instance_1,normal,1.42
175.0,1,0.02,22.44,0.0,NO_ACTION,target_instance_1,normal,1.05
