num_attackers,rps_per_worker,planned_total_rps,num_targets,total_requests,elapsed_time_s,real_rps,errors
4,10.0,40.0,1,,,,
,10.0,,,71,6.321,11.232,0
,10.0,,,64,6.343,10.09,0
,10.0,,,62,6.497,9.542,0
,10.0,,,80,6.81,11.747,0
4,10.0,40.0,2,,,,
,10.0,,,244,24.515,9.953,0
,10.0,,,236,24.561,9.609,0
,10.0,,,239,24.606,9.713,0
,10.0,,,244,24.756,9.856,0
4,10.0,40.0,3,,,,
,10.0,,,434,43.406,9.999,0
,10.0,,,418,43.423,9.626,0
,10.0,,,431,43.449,9.92,0
,10.0,,,448,43.475,10.305,0
4,10.0,40.0,4,,,,
,10.0,,,622,62.313,9.982,0
,10.0,,,621,62.331,9.963,0
,10.0,,,645,62.339,10.347,0
,10.0,,,597,62.67,9.526,0
