num_attackers,rps_per_worker,planned_total_rps,num_targets,total_requests,elapsed_time_s,real_rps,errors
4,2.0,8.0,1,,,,
,2.0,,,18,6.65,2.707,0
,2.0,,,16,6.838,2.34,0
,2.0,,,17,7.458,2.279,0
4,2.0,8.0,2,,,,
,2.0,,,82,32.847,2.496,0
,2.0,,,69,32.99,2.092,1
,2.0,,,66,33.74,1.956,0
,2.0,,,108,41.657,2.593,0
4,2.0,8.0,1,,,,
,2.0,,,65,34.461,1.886,1
,2.0,,,127,64.654,1.964,0
,2.0,,,143,64.662,2.212,0
,2.0,,,138,64.722,2.132,0
,2.0,,,138,64.874,2.127,0
4,2.0,8.0,2,,,,
,2.0,,,38,23.622,1.609,0
,2.0,,,43,23.853,1.803,0
4,2.0,8.0,1,,,,
,2.0,,,52,24.731,2.103,3
,2.0,,,20,7.978,2.507,0
,2.0,,,53,32.384,1.637,0
,2.0,,,12,8.302,1.445,0
,2.0,,,14,8.387,1.669,0
,2.0,,,20,8.495,2.354,0
