elapsed_time_s,num_instances,average_cpu_percent,mem_usage,avg_rtt_ms,decision,active_containers_names,label,host_cpu_percent
0.01,1,0.0,0.0,0.0,NO_ACTION,,normal,0.0
5.0,2,88.93,24.17,46.12,SCALE_UP,target_instance_1,normal,35.67
10.0,2,81.4,24.38,46.18,NO_ACTION,target_instance_1,normal,32.16
15.0,2,41.43,19.5,46.2,NO_ACTION,"target_instance_2,target_instance_1",normal,32.08
20.0,2,27.04,18.03,45.22,NO_ACTION,"target_instance_2,target_instance_1",normal,31.3
25.0,2,42.69,19.75,45.37,NO_ACTION,"target_instance_2,target_instance_1",normal,31.16
30.0,2,53.83,21.42,44.41,NO_ACTION,"target_instance_2,target_instance_1",normal,30.35
35.0,2,39.97,19.98,45.38,NO_ACTION,"target_instance_2,target_instance_1",normal,31.19
40.0,2,40.44,19.99,44.82,NO_ACTION,"target_instance_2,target_instance_1",normal,29.94
45.0,2,38.25,20.1,44.87,NO_ACTION,"target_instance_2,target_instance_1",normal,30.82
50.0,2,26.02,18.3,44.46,NO_ACTION,"target_instance_2,target_instance_1",normal,30.04
55.0,2,41.8,19.93,44.73,NO_ACTION,"target_instance_2,target_instance_1",normal,32.02
60.0,1,23.9,18.3,43.83,SCALE_DOWN,"target_instance_2,target_instance_1",normal,30.76
65.63,1,82.9,24.64,44.89,NO_ACTION,target_instance_1,normal,37.31
70.0,1,82.97,24.88,44.42,NO_ACTION,target_instance_1,normal,30.5
75.0,1,79.46,24.64,44.46,NO_ACTION,target_instance_1,normal,30.65
80.0,2,80.55,24.8,45.66,SCALE_UP,target_instance_1,normal,36.01
85.0,2,80.77,24.62,46.38,NO_ACTION,target_instance_1,normal,31.42
90.0,2,37.89,20.0,44.59,NO_ACTION,"target_instance_1,target_instance_3",normal,29.36
95.0,2,38.84,20.23,44.8,NO_ACTION,"target_instance_1,target_instance_3",normal,31.85
100.0,2,37.48,20.1,44.07,NO_ACTION,"target_instance_1,target_instance_3",normal,29.63
105.0,2,41.6,19.87,45.52,NO_ACTION,"target_instance_1,target_instance_3",normal,31.26
110.0,2,27.45,18.41,44.6,NO_ACTION,"target_instance_1,target_instance_3",normal,29.65
115.0,2,43.6,20.01,45.02,NO_ACTION,"target_instance_1,target_instance_3",normal,31.89
120.0,2,52.68,21.71,43.72,NO_ACTION,"target_instance_1,target_instance_3",normal,29.4
125.0,2,37.27,20.11,44.85,NO_ACTION,"target_instance_1,target_instance_3",normal,30.4
130.0,2,39.89,19.98,44.0,NO_ACTION,"target_instance_1,target_instance_3",normal,29.78
135.0,2,41.89,20.13,44.83,NO_ACTION,"target_instance_1,target_instance_3",normal,30.69
140.0,2,26.22,18.23,44.99,NO_ACTION,"target_instance_1,target_instance_3",normal,30.87
145.0,2,40.97,20.22,44.96,NO_ACTION,"target_instance_1,target_instance_3",normal,32.26
150.01,2,52.44,21.82,44.68,NO_ACTION,"target_instance_1,target_instance_3",normal,30.61
155.0,2,38.45,19.89,45.32,NO_ACTION,"target_instance_1,target_instance_3",normal,30.92
160.0,2,38.14,20.14,44.39,NO_ACTION,"target_instance_1,target_instance_3",normal,29.51
165.0,2,40.89,20.27,44.29,NO_ACTION,"target_instance_1,target_instance_3",normal,30.23
170.0,2,25.98,18.35,44.59,NO_ACTION,"target_instance_1,target_instance_3",normal,30.17
175.0,2,40.83,19.74,44.73,NO_ACTION,"target_instance_1,target_instance_3",normal,31.06
