target_aggregate,clients,n,n_incomplete_excluded,achieved_aggregate_mean,cpu_container_mean,cpu_container_std,cpu_host_mean,error_rate_mean,error_rate_std,error_rate_n
16,1,5,0,15.5742,3.1129142857142855,0.054849850705804004,2.826571428571429,0.0,0.0,5
16,2,5,0,15.966,3.3305714285714285,0.11258248676650644,2.8747428571428575,0.0,0.0,5
16,4,5,0,15.870000000000001,3.220342857142857,0.08408023379062235,2.8085142857142857,0.0,0.0,5
16,8,5,0,15.9684,3.3485142857142858,0.13744244064260455,2.811714285714286,0.11067210305682201,0.1516345882973617,5
16,16,2,3,15.7085,3.7811428571428563,0.25617468529844084,3.064,0.0,0.0,2
32,1,5,0,31.6692,6.4636000000000005,0.06872470963405902,4.517828571428571,0.0,0.0,5
32,2,5,0,31.7672,6.640228571428572,0.10839033769724378,4.506514285714285,0.0,0.0,5
32,4,5,0,32.246399999999994,6.530171428571429,0.4067330569204294,4.464571428571428,0.0,0.0,5
32,8,5,0,31.7202,6.895085714285715,0.21482849353066077,4.4328,0.0,0.0,5
32,16,5,0,31.951400000000003,6.920457142857143,0.03731531392151528,4.329314285714285,0.0,0.0,5
64,1,5,0,62.9044,11.448457142857142,0.24317026872509936,7.468457142857144,0.0,0.0,5
64,2,5,0,62.9204,11.564514285714285,0.20461266543677858,7.389885714285715,0.0071409443898955635,0.015967637079352243,5
64,4,5,0,63.3764,11.76142857142857,0.14393181492268847,7.202857142857143,0.0,0.0,5
64,8,5,0,63.684400000000004,11.916114285714286,0.15998668311928405,7.233714285714286,0.03508994195516917,0.06911178651836694,5
64,16,5,0,64.3584,12.135314285714285,0.040239385721768606,7.291885714285715,0.0,0.0,5
128,1,5,0,122.10379999999999,24.141085714285712,0.4127347520020616,13.436514285714285,0.019962548120250483,0.03543702163457973,5
128,2,5,0,125.5622,25.230800000000002,0.1529027168376221,13.621428571428572,0.0,0.0,5
128,4,5,0,126.4828,25.267885714285715,0.39328187948937343,13.624914285714286,0.0,0.0,5
128,8,5,0,128.0306,25.67582857142857,0.1707919847089332,13.763142857142856,0.0,0.0,5
128,16,5,0,128.2226,26.34777142857143,0.37888932205506554,13.845542857142858,0.0,0.0,5
256,1,5,0,225.0006,46.06948571428571,1.4148986031312853,21.040114285714285,0.008319671128294223,0.018603350193308256,5
256,2,5,0,236.6002,47.196685714285714,1.3027140679585625,21.81457142857143,0.0,0.0,5
256,4,5,0,243.60260000000002,48.017942857142856,1.5957866258062336,22.570228571428572,0.002278060004100508,0.005093897025992185,5
256,8,7,3,248.71157142857143,47.184612244897956,2.3181041481335125,23.040775510204085,0.017822628666861216,0.03257465393585588,7
256,16,5,0,252.3866,45.204685714285716,3.437308104328387,23.943485714285714,0.011036309458117205,0.02467793816907394,5
512,1,5,0,332.9362,52.316742857142856,1.9380357887220105,30.427257142857144,0.0,0.0,5
512,2,4,1,357.034,44.587857142857146,1.9986037371022736,31.43,0.0,0.0,4
512,4,5,0,375.201,41.902457142857145,4.169188305477533,32.8044,0.01584852149977061,0.03543837141635401,5
512,8,8,2,397.132875,38.87607142857143,0.6109178250151834,34.006392857142856,0.0,0.0,8
512,16,5,0,408.33,42.18857142857142,1.0534836283028042,35.234742857142855,0.0019159447660494588,0.004284182738021522,5
