aggregate,clients,rep,soluco,n_bursts,n_janelas,taxa_alarme
128,16,1,False,0,18,0.0
128,16,2,False,0,18,0.0
128,16,3,False,0,18,0.0
128,16,4,False,0,18,0.0
128,16,5,False,0,18,0.0
128,1,1,False,0,18,0.0
128,1,2,False,0,18,0.0
128,1,3,False,0,18,0.0
128,1,4,False,0,18,0.0
128,1,5,False,0,18,0.0
128,2,1,False,0,18,0.0
128,2,2,False,0,18,0.0
128,2,3,False,0,18,0.0
128,2,4,False,0,18,0.0
128,2,5,False,0,18,0.0
128,4,1,False,0,18,0.0
128,4,2,False,0,18,0.0
128,4,3,False,0,18,0.0
128,4,4,False,0,18,0.0
128,4,5,False,0,18,0.0
128,8,1,False,0,18,0.0
128,8,2,False,0,18,0.0
128,8,3,False,0,18,0.0
128,8,4,False,0,19,0.0
128,8,5,False,0,18,0.0
16,16,1,True,0,18,0.0
16,16,2,False,0,18,0.0
16,16,3,True,0,18,0.0
16,16,4,False,0,18,0.0
16,16,5,True,0,18,0.0
16,1,1,False,0,18,0.0
16,1,2,False,0,18,0.0
16,1,3,False,0,18,0.0
16,1,4,False,0,19,0.0
16,1,5,False,0,18,0.0
16,2,1,False,0,19,0.0
16,2,2,False,0,19,0.0
16,2,3,False,0,18,0.0
16,2,4,False,0,18,0.0
16,2,5,False,0,19,0.0
16,4,1,False,0,19,0.0
16,4,2,False,0,18,0.0
16,4,3,False,0,18,0.0
16,4,4,False,0,19,0.0
16,4,5,False,0,19,0.0
16,8,1,False,0,18,0.0
16,8,2,False,0,18,0.0
16,8,3,False,0,18,0.0
16,8,4,False,0,18,0.0
16,8,5,False,0,19,0.0
256,16,1,False,0,19,0.0
256,16,2,False,0,19,0.0
256,16,3,False,0,19,0.0
256,16,4,False,0,19,0.0
256,16,5,False,0,19,0.0
256,1,1,False,0,19,0.0
256,1,2,False,0,19,0.0
256,1,3,False,0,19,0.0
256,1,4,False,0,19,0.0
256,1,5,False,0,19,0.0
256,2,1,False,0,19,0.0
256,2,2,False,0,19,0.0
256,2,3,False,0,19,0.0
256,2,4,False,0,19,0.0
256,2,5,False,0,19,0.0
256,4,1,False,0,19,0.0
256,4,2,False,0,19,0.0
256,4,3,False,0,19,0.0
256,4,4,False,0,19,0.0
256,4,5,False,0,19,0.0
256,8,1,False,0,19,0.0
256,8,10,True,0,18,0.0
256,8,2,True,0,19,0.0
256,8,3,False,0,19,0.0
256,8,4,False,0,19,0.0
256,8,5,False,0,19,0.0
256,8,6,False,0,19,0.0
256,8,7,True,0,19,0.0
256,8,8,False,0,19,0.0
256,8,9,False,0,19,0.0
32,16,1,False,0,18,0.0
32,16,2,False,0,18,0.0
32,16,3,False,0,18,0.0
32,16,4,False,0,18,0.0
32,16,5,False,0,18,0.0
32,1,1,False,0,18,0.0
32,1,2,False,0,18,0.0
32,1,3,False,0,18,0.0
32,1,4,False,0,18,0.0
32,1,5,False,0,18,0.0
32,2,1,False,0,18,0.0
32,2,2,False,0,18,0.0
32,2,3,False,0,18,0.0
32,2,4,False,0,18,0.0
32,2,5,False,0,18,0.0
32,4,1,False,0,18,0.0
32,4,2,False,0,18,0.0
32,4,3,False,0,18,0.0
32,4,4,False,0,18,0.0
32,4,5,False,0,18,0.0
32,8,1,False,0,18,0.0
32,8,2,False,0,18,0.0
32,8,3,False,0,18,0.0
32,8,4,False,0,18,0.0
32,8,5,False,0,18,0.0
512,16,1,False,0,19,0.0
512,16,2,False,0,19,0.0
512,16,3,False,0,19,0.0
512,16,4,False,0,19,0.0
512,16,5,False,0,19,0.0
512,1,1,False,0,19,0.0
512,1,2,False,0,19,0.0
512,1,3,False,0,19,0.0
512,1,4,False,0,19,0.0
512,1,5,False,0,19,0.0
512,2,1,False,0,19,0.0
512,2,2,False,0,19,0.0
512,2,3,True,0,19,0.0
512,2,4,False,0,19,0.0
512,2,5,False,0,19,0.0
512,4,1,False,0,19,0.0
512,4,2,False,0,19,0.0
512,4,3,False,0,19,0.0
512,4,4,False,0,19,0.0
512,4,5,False,0,19,0.0
512,8,1,False,0,19,0.0
512,8,10,False,0,19,0.0
512,8,2,False,0,19,0.0
512,8,3,False,0,19,0.0
512,8,4,False,0,19,0.0
512,8,5,True,1,19,5.2631578947368425
512,8,6,False,0,19,0.0
512,8,7,True,0,19,0.0
512,8,8,False,0,19,0.0
512,8,9,False,0,19,0.0
64,16,1,False,0,18,0.0
64,16,2,False,0,18,0.0
64,16,3,False,0,18,0.0
64,16,4,False,0,18,0.0
64,16,5,False,0,18,0.0
64,1,1,False,0,18,0.0
64,1,2,False,0,18,0.0
64,1,3,False,0,18,0.0
64,1,4,False,0,18,0.0
64,1,5,False,0,18,0.0
64,2,1,False,0,18,0.0
64,2,2,False,0,18,0.0
64,2,3,False,0,18,0.0
64,2,4,False,0,18,0.0
64,2,5,False,0,18,0.0
64,4,1,False,0,18,0.0
64,4,2,False,0,18,0.0
64,4,3,False,0,18,0.0
64,4,4,False,0,18,0.0
64,4,5,False,0,18,0.0
64,8,1,False,0,18,0.0
64,8,2,False,0,18,0.0
64,8,3,False,0,18,0.0
64,8,4,False,0,18,0.0
64,8,5,False,0,18,0.0
