target_aggregate,clients,n_workers,target_per_client,ratio_mean,ratio_std
16,1,5,16.0,0.9733875,0.018004090247080013
16,2,10,8.0,0.997875,0.023684852168046635
16,4,20,4.0,0.991875,0.03525074653931384
16,8,40,2.0,0.998025,0.06302715633675245
16,16,32,1.0,0.9817812499999999,0.054489261667752226
32,1,5,32.0,0.9896625,0.0167366492969023
32,2,10,16.0,0.992725,0.014584172594898137
32,4,20,8.0,1.0077,0.023988977732108105
32,8,40,4.0,0.9912562500000001,0.036740579095103955
32,16,80,2.0,0.99848125,0.047978202048799656
64,1,5,64.0,0.98288125,0.008774439919358815
64,2,10,32.0,0.98313125,0.014228074628665998
64,4,20,16.0,0.9902562500000001,0.020512561339271315
64,8,40,8.0,0.99506875,0.02503807917260918
64,16,80,4.0,1.0056,0.0392872535453834
128,1,5,128.0,0.9539359374999999,0.005387202831312666
128,2,10,64.0,0.9809546875,0.00976299672965373
128,4,20,32.0,0.988146875,0.015116573813702997
128,8,40,16.0,1.0002390625,0.01712278251306087
128,16,80,8.0,1.0017390625,0.0228943914984577
256,1,5,256.0,0.87890859375,0.0051207455724030185
256,2,10,128.0,0.92421953125,0.008063018503528177
256,4,20,64.0,0.95157265625,0.007068265642216562
256,8,56,32.0,0.9715295758928572,0.013049272091499935
256,16,80,16.0,0.98588515625,0.020097282301565586
512,1,5,512.0,0.650266015625,0.005346697863125506
512,2,8,256.0,0.69733203125,0.026237259493879353
512,4,20,128.0,0.732814453125,0.021665162478806607
512,8,64,64.0,0.775650146484375,0.025290445856269637
512,16,80,32.0,0.79751953125,0.027214447840382915
