num_attackers,rps_per_worker,planned_total_rps,num_targets,total_requests,elapsed_time_s,real_rps,errors
4,1.5,6.0,1,,,,
,1.5,,,34,26.148,1.3,0
,1.5,,,37,26.228,1.411,0
,1.5,,,42,26.297,1.597,0
4,1.5,6.0,2,,,,
,1.5,,,39,28.237,1.381,0
,1.5,,,37,28.354,1.305,0
,1.5,,,82,56.003,1.464,0
,1.5,,,46,28.789,1.598,2
,1.5,,,55,29.251,1.88,0
4,1.5,6.0,1,,,,
,1.5,,,54,39.547,1.365,0
,1.5,,,62,39.811,1.557,0
,1.5,,,57,39.908,1.428,0
,1.5,,,59,39.935,1.477,0
4,1.5,6.0,2,,,,
,1.5,,,45,33.187,1.356,0
,1.5,,,69,33.355,2.069,0
,1.5,,,49,33.381,1.468,0
,1.5,,,52,34.2,1.52,1
4,1.5,6.0,1,,,,
,1.5,,,9,8.645,1.041,0
,1.5,,,9,8.865,1.015,0
,1.5,,,20,9.09,2.2,0
,1.5,,,8,9.503,0.842,0
