elapsed_time_s,num_instances,average_cpu_percent,mem_usage,avg_rtt_ms,decision,active_containers_names,label
0.01,1,0.0,0.0,0.0,NO_ACTION,,normal
5.0,1,11.34,22.73,21.06,NO_ACTION,target_instance_1,normal
10.0,1,9.31,22.6,19.95,NO_ACTION,target_instance_1,normal
15.0,1,10.49,22.86,17.89,NO_ACTION,target_instance_1,normal
20.0,1,10.12,22.58,19.47,NO_ACTION,target_instance_1,normal
25.0,1,17.59,23.2,110.0,NO_ACTION,target_instance_1,attack
30.0,1,10.1,23.08,60.64,NO_ACTION,target_instance_1,attack
35.0,1,11.8,23.1,59.44,NO_ACTION,target_instance_1,attack
40.0,1,17.43,23.15,57.96,NO_ACTION,target_instance_1,attack
45.0,1,10.78,23.25,57.44,NO_ACTION,target_instance_1,attack
50.0,1,12.01,23.32,51.49,NO_ACTION,target_instance_1,attack
55.0,1,16.62,23.21,63.78,NO_ACTION,target_instance_1,attack
60.0,1,12.87,23.24,59.08,NO_ACTION,target_instance_1,attack
65.0,1,17.75,23.21,65.64,NO_ACTION,target_instance_1,attack
70.0,1,12.38,23.33,55.9,NO_ACTION,target_instance_1,attack
75.0,1,11.29,23.21,56.54,NO_ACTION,target_instance_1,attack
80.0,1,12.42,23.33,0.0,NO_ACTION,target_instance_1,attack
85.0,1,12.51,23.2,78.63,NO_ACTION,target_instance_1,attack
90.0,1,11.5,23.16,61.34,NO_ACTION,target_instance_1,attack
95.0,1,16.4,23.2,57.5,NO_ACTION,target_instance_1,attack
100.0,1,21.2,23.21,55.24,NO_ACTION,target_instance_1,attack
105.0,1,13.33,23.33,55.13,NO_ACTION,target_instance_1,attack
110.0,1,10.74,23.33,65.92,NO_ACTION,target_instance_1,attack
115.0,1,16.19,23.38,66.91,NO_ACTION,target_instance_1,attack
120.0,1,18.66,23.4,62.66,NO_ACTION,target_instance_1,attack
125.0,1,16.69,23.54,92.85,NO_ACTION,target_instance_1,attack
130.0,1,11.8,23.34,57.65,NO_ACTION,target_instance_1,attack
135.0,1,10.14,23.17,69.23,NO_ACTION,target_instance_1,attack
140.0,1,19.8,23.34,68.53,NO_ACTION,target_instance_1,attack
145.0,1,18.19,23.42,63.69,NO_ACTION,target_instance_1,attack
150.0,1,14.25,23.42,58.59,NO_ACTION,target_instance_1,attack
155.0,1,17.77,23.31,59.33,NO_ACTION,target_instance_1,attack
160.0,1,17.72,23.42,56.97,NO_ACTION,target_instance_1,attack
165.0,1,11.48,23.53,20.35,NO_ACTION,target_instance_1,normal
170.0,1,10.17,23.36,20.63,NO_ACTION,target_instance_1,normal
175.0,1,13.31,23.23,21.15,NO_ACTION,target_instance_1,normal
