num_attackers,rps_per_worker,planned_total_rps,num_targets,total_requests,elapsed_time_s,real_rps,errors
4,10.0,40.0,1,,,,
4,10.0,40.0,2,,,,
,10.0,,,28,8.899,3.147,38
,10.0,,,34,8.968,3.791,41
,10.0,,,39,9.094,4.289,43
,10.0,,,25,9.117,2.742,30
4,10.0,40.0,3,,,,
,10.0,,,0,21.328,0.0,196
,10.0,,,180,21.365,8.425,18
,10.0,,,167,21.405,7.802,22
,10.0,,,0,21.442,0.0,163
,10.0,,,178,18.982,9.377,0
,10.0,,,179,19.179,9.333,0
4,10.0,40.0,4,,,,
,10.0,,,0,20.746,0.0,172
,10.0,,,0,20.774,0.0,214
,10.0,,,950,91.973,10.329,0
,10.0,,,920,91.99,10.001,0
,10.0,,,659,92.01,7.162,274
,10.0,,,919,92.097,9.979,0
