num_attackers,rps_per_worker,planned_total_rps,num_targets,total_requests,elapsed_time_s,real_rps,errors
4,5.0,20.0,1,,,,
,5.0,,,29,6.255,4.636,0
,5.0,,,34,6.312,5.387,0
,5.0,,,35,6.337,5.523,0
,5.0,,,32,6.365,5.028,0
4,5.0,20.0,2,,,,
,5.0,,,196,38.87,5.043,0
,5.0,,,208,38.879,5.35,0
,5.0,,,179,39.009,4.589,0
,5.0,,,205,39.53,5.186,0
4,5.0,20.0,3,,,,
,5.0,,,135,28.058,4.811,2
,5.0,,,126,28.229,4.463,0
,5.0,,,113,28.561,3.956,0
,5.0,,,153,28.675,5.336,0
4,5.0,20.0,2,,,,
,5.0,,,202,39.492,5.115,0
,5.0,,,209,39.491,5.292,0
,5.0,,,204,39.674,5.142,0
,5.0,,,178,39.696,4.484,0
4,5.0,20.0,3,,,,
,5.0,,,101,23.217,4.35,0
,5.0,,,110,23.245,4.732,0
,5.0,,,116,23.424,4.952,0
4,5.0,20.0,2,,,,
,5.0,,,1,0.213,4.699,0
,5.0,,,1,0.36,2.776,0
,5.0,,,2,0.417,4.791,0
,5.0,,,1,0.448,2.231,0
,5.0,,,117,24.899,4.699,5
