elapsed_time_s,num_instances,average_cpu_percent,mem_usage,avg_rtt_ms,decision,active_containers_names,label,host_cpu_percent
0.02,1,0.0,0.0,0.0,NO_ACTION,,normal,0.0
5.0,1,7.56,22.64,16.44,NO_ACTION,target_instance_1,normal,5.07
10.0,1,7.21,22.59,14.79,NO_ACTION,target_instance_1,normal,4.6
15.0,1,7.25,22.81,15.64,NO_ACTION,target_instance_1,normal,5.06
20.0,1,7.7,22.96,17.03,NO_ACTION,target_instance_1,normal,4.94
25.0,1,33.01,23.71,41.46,NO_ACTION,target_instance_1,attack,14.96
30.0,2,63.96,23.92,38.0,SCALE_UP,target_instance_1,attack,19.15
35.0,2,80.32,23.76,57.72,NO_ACTION,target_instance_1,attack,21.61
40.0,2,39.5,22.31,44.24,NO_ACTION,"target_instance_1,target_instance_2",attack,17.28
45.0,2,34.45,22.87,43.87,NO_ACTION,"target_instance_1,target_instance_2",attack,16.15
50.0,2,28.42,22.87,37.75,NO_ACTION,"target_instance_1,target_instance_2",attack,13.86
55.0,1,23.95,23.06,35.65,SCALE_DOWN,"target_instance_1,target_instance_2",attack,13.27
62.01,1,29.48,23.76,35.25,NO_ACTION,target_instance_1,attack,44.44
65.0,1,65.9,23.82,45.9,NO_ACTION,target_instance_1,attack,19.82
70.0,1,53.75,24.38,35.93,NO_ACTION,target_instance_1,attack,12.73
75.0,2,60.12,24.31,42.14,SCALE_UP,target_instance_1,attack,21.78
80.0,2,45.17,23.93,65.79,NO_ACTION,target_instance_1,attack,25.51
85.0,2,54.59,23.05,50.7,NO_ACTION,"target_instance_1,target_instance_3",attack,20.46
90.0,2,31.31,22.94,36.15,NO_ACTION,"target_instance_1,target_instance_3",attack,12.92
95.0,2,47.15,22.95,45.33,NO_ACTION,"target_instance_1,target_instance_3",attack,19.1
100.0,2,47.69,22.5,49.83,NO_ACTION,"target_instance_1,target_instance_3",attack,21.16
105.0,3,61.21,23.05,57.18,SCALE_UP,"target_instance_1,target_instance_3",attack,24.27
110.0,3,23.81,23.05,50.66,NO_ACTION,"target_instance_1,target_instance_3",attack,14.9
115.0,3,17.52,22.39,42.41,NO_ACTION,"target_instance_1,target_instance_3,target_instance_4",attack,17.23
120.0,3,13.97,22.29,34.63,NO_ACTION,"target_instance_1,target_instance_3,target_instance_4",attack,14.52
125.0,2,17.89,22.54,47.06,SCALE_DOWN,"target_instance_1,target_instance_3,target_instance_4",attack,19.22
132.24,2,20.24,22.88,46.79,NO_ACTION,"target_instance_1,target_instance_3",attack,65.71
135.0,2,25.64,23.4,54.39,NO_ACTION,"target_instance_1,target_instance_3",attack,21.36
140.0,2,40.34,22.94,46.91,NO_ACTION,"target_instance_1,target_instance_3",attack,20.11
145.0,2,53.21,22.97,53.9,NO_ACTION,"target_instance_1,target_instance_3",attack,21.32
150.0,2,43.66,22.65,36.42,NO_ACTION,"target_instance_1,target_instance_3",attack,15.21
155.01,2,34.17,23.13,53.82,NO_ACTION,"target_instance_1,target_instance_3",attack,20.76
160.0,2,45.9,23.44,50.26,NO_ACTION,"target_instance_1,target_instance_3",attack,14.87
165.0,1,4.25,22.8,13.85,SCALE_DOWN,"target_instance_1,target_instance_3",normal,5.98
170.6,1,7.69,24.11,17.66,NO_ACTION,target_instance_1,normal,47.06
175.0,1,9.54,24.0,18.07,NO_ACTION,target_instance_1,normal,5.83
