elapsed_time_s,num_instances,average_cpu_percent,mem_usage,avg_rtt_ms,decision,active_containers_names,label,host_cpu_percent
0.01,1,0.0,0.0,0.0,NO_ACTION,,normal,0.0
5.0,1,0.01,14.96,0.0,NO_ACTION,target_instance_1,normal,0.65
10.0,1,0.02,14.95,0.0,NO_ACTION,target_instance_1,normal,0.58
15.0,1,0.02,14.95,0.0,NO_ACTION,target_instance_1,normal,1.63
20.0,1,0.02,14.95,0.0,NO_ACTION,target_instance_1,normal,0.8
25.0,2,206.76,24.74,561.98,SCALE_UP,target_instance_1,attack,35.48
30.0,2,205.32,27.04,1101.33,NO_ACTION,target_instance_1,attack,60.19
35.0,2,202.58,24.57,633.14,NO_ACTION,"target_instance_2,target_instance_1",attack,60.53
40.0,2,202.22,24.6,894.9,NO_ACTION,"target_instance_2,target_instance_1",attack,60.92
45.0,3,201.88,26.56,1530.97,SCALE_UP,"target_instance_2,target_instance_1",attack,64.75
50.0,3,201.75,27.09,1000.57,NO_ACTION,"target_instance_2,target_instance_1",attack,72.51
55.0,3,122.25,25.57,184.49,NO_ACTION,"target_instance_2,target_instance_3,target_instance_1",attack,65.74
60.0,3,137.06,25.41,175.63,NO_ACTION,"target_instance_2,target_instance_3,target_instance_1",attack,66.09
65.0,4,128.19,25.73,163.94,SCALE_UP,"target_instance_2,target_instance_3,target_instance_1",attack,63.75
70.0,4,122.05,25.74,319.47,NO_ACTION,"target_instance_2,target_instance_3,target_instance_1",attack,88.25
75.0,4,185.29,25.56,344.07,NO_ACTION,"target_instance_2,target_instance_3,target_instance_1",attack,90.16
80.0,4,167.55,24.51,336.52,NO_ACTION,"target_instance_2,target_instance_3,target_instance_1,target_instance_4",attack,87.9
85.0,4,155.79,24.62,266.47,NO_ACTION,"target_instance_2,target_instance_3,target_instance_1,target_instance_4",attack,87.02
90.0,4,169.32,24.51,312.89,NO_ACTION,"target_instance_2,target_instance_3,target_instance_1,target_instance_4",attack,91.61
95.0,4,178.18,24.33,689.67,NO_ACTION,"target_instance_2,target_instance_3,target_instance_1,target_instance_4",attack,96.22
100.0,4,153.66,24.44,703.4,NO_ACTION,"target_instance_2,target_instance_3,target_instance_1,target_instance_4",attack,88.1
105.0,4,150.19,24.36,383.0,NO_ACTION,"target_instance_2,target_instance_3,target_instance_1,target_instance_4",attack,87.11
110.0,4,160.3,24.27,463.02,NO_ACTION,"target_instance_2,target_instance_3,target_instance_1,target_instance_4",attack,85.73
115.0,4,121.69,23.68,223.55,NO_ACTION,"target_instance_2,target_instance_3,target_instance_1,target_instance_4",attack,65.82
120.02,4,119.64,23.81,185.79,NO_ACTION,"target_instance_2,target_instance_3,target_instance_1,target_instance_4",attack,69.08
125.0,4,162.19,23.88,325.62,NO_ACTION,"target_instance_2,target_instance_3,target_instance_1,target_instance_4",attack,91.28
130.0,4,172.45,23.75,201.63,NO_ACTION,"target_instance_2,target_instance_3,target_instance_1,target_instance_4",attack,67.31
135.0,4,162.47,23.81,233.99,NO_ACTION,"target_instance_2,target_instance_3,target_instance_1,target_instance_4",attack,79.7
140.0,4,119.79,23.82,152.98,NO_ACTION,"target_instance_2,target_instance_3,target_instance_1,target_instance_4",attack,55.67
145.0,4,134.63,23.81,206.33,NO_ACTION,"target_instance_2,target_instance_3,target_instance_1,target_instance_4",attack,69.23
150.0,4,125.61,23.69,158.82,NO_ACTION,"target_instance_2,target_instance_3,target_instance_1,target_instance_4",attack,62.28
155.0,4,95.21,23.75,137.14,NO_ACTION,"target_instance_2,target_instance_3,target_instance_1,target_instance_4",attack,56.89
160.0,4,143.34,23.88,195.21,NO_ACTION,"target_instance_2,target_instance_3,target_instance_1,target_instance_4",attack,69.89
165.0,4,65.75,23.64,0.0,NO_ACTION,"target_instance_2,target_instance_3,target_instance_1,target_instance_4",normal,3.27
170.0,3,0.02,23.37,0.0,SCALE_DOWN,"target_instance_2,target_instance_3,target_instance_1,target_instance_4",normal,2.08
175.56,3,0.02,23.75,0.0,NO_ACTION,"target_instance_2,target_instance_3,target_instance_1",normal,13.21
