rps,wu,condicao,n,timeout_mean,timeout_std,sat_mean,sat_std
1,100000,combinado,5,0.0,0.0,0.0,0.0
1,100000,isolado,5,0.0,0.0,0.0,0.0
1,200000,combinado,5,0.0,0.0,0.0,0.0
1,200000,isolado,5,0.0,0.0,0.0,0.0
1,400000,combinado,5,0.5146114104680735,0.8971556595145703,0.0,0.0
1,400000,isolado,5,0.0995371410596324,0.14646539352749915,0.0,0.0
5,100000,combinado,5,0.1487934704286784,0.1085177113020603,0.0,0.0
5,100000,isolado,5,0.2136178052548308,0.15372193541284085,0.0,0.0
5,200000,combinado,5,0.09674854761750405,0.12298743677024035,0.0,0.0
5,200000,isolado,5,0.1252909387365732,0.10690765774376312,0.0,0.0
5,400000,combinado,5,34.06044205075271,8.178651126567813,9.714285714285715,8.231348737650247
5,400000,isolado,5,9.307036014662911,19.178546696152697,5.142857142857143,7.114228341707848
10,100000,combinado,5,0.022156573116691287,0.049543603637366096,0.0,0.0
10,100000,isolado,5,0.051623390990547795,0.04753115751712352,0.0,0.0
10,200000,combinado,5,24.54447538046212,5.1264514350169526,10.285714285714286,10.020387381000104
10,200000,isolado,5,23.594807510590183,3.476271262617709,8.0,3.1298431857438063
10,400000,combinado,5,97.27606652665095,0.34658703892392195,57.142857142857146,2.0203050891044216
10,400000,isolado,5,96.83985753574262,0.4484523941233628,57.714285714285715,1.2777531299998786
