elapsed_time_s,num_instances,average_cpu_percent,mem_usage,avg_rtt_ms,decision,active_containers_names,label
0.01,1,0.0,0.0,0.0,NO_ACTION,,normal
5.0,1,18.28,23.09,23.87,NO_ACTION,target_instance_1,normal
10.0,1,15.2,22.94,23.15,NO_ACTION,target_instance_1,normal
15.0,1,19.29,22.96,21.19,NO_ACTION,target_instance_1,normal
20.0,1,16.64,23.01,23.45,NO_ACTION,target_instance_1,normal
25.0,1,43.26,23.74,59.41,NO_ACTION,target_instance_1,attack
30.0,2,104.46,24.94,166.96,SCALE_UP,target_instance_1,attack
35.0,2,85.83,24.93,75.73,NO_ACTION,target_instance_1,attack
40.0,2,21.89,23.4,65.91,NO_ACTION,"target_instance_2,target_instance_1",attack
45.02,2,30.99,23.2,62.97,NO_ACTION,"target_instance_2,target_instance_1",attack
50.0,1,11.86,22.57,43.66,SCALE_DOWN,"target_instance_2,target_instance_1",attack
57.02,1,26.08,25.06,38.58,NO_ACTION,target_instance_1,attack
60.0,1,34.5,25.35,74.14,NO_ACTION,target_instance_1,attack
65.0,1,36.26,25.28,40.99,NO_ACTION,target_instance_1,attack
70.0,1,56.15,25.34,46.42,NO_ACTION,target_instance_1,attack
75.0,1,51.75,25.36,39.81,NO_ACTION,target_instance_1,attack
80.0,1,31.88,25.22,39.68,NO_ACTION,target_instance_1,attack
85.0,1,45.93,25.22,41.5,NO_ACTION,target_instance_1,attack
90.0,1,41.2,25.36,46.96,NO_ACTION,target_instance_1,attack
95.0,2,63.26,25.65,40.11,SCALE_UP,target_instance_1,attack
100.0,2,44.4,25.14,72.22,NO_ACTION,target_instance_1,attack
105.0,2,26.06,23.44,39.77,NO_ACTION,"target_instance_3,target_instance_1",attack
110.0,2,21.58,22.74,46.27,NO_ACTION,"target_instance_3,target_instance_1",attack
115.0,1,20.23,23.51,45.46,SCALE_DOWN,"target_instance_3,target_instance_1",attack
122.14,1,26.45,25.03,45.04,NO_ACTION,target_instance_1,attack
125.0,1,32.89,25.33,61.36,NO_ACTION,target_instance_1,attack
130.0,1,37.24,25.35,40.21,NO_ACTION,target_instance_1,attack
135.0,1,44.32,25.34,38.17,NO_ACTION,target_instance_1,attack
140.0,1,35.81,25.23,38.14,NO_ACTION,target_instance_1,attack
145.0,1,44.99,25.51,38.59,NO_ACTION,target_instance_1,attack
150.0,2,61.09,25.38,40.51,SCALE_UP,target_instance_1,attack
155.0,2,48.75,25.27,61.96,NO_ACTION,target_instance_1,attack
160.0,2,18.03,22.52,39.51,NO_ACTION,"target_instance_4,target_instance_1",attack
165.0,2,8.6,23.36,25.72,NO_ACTION,"target_instance_4,target_instance_1",normal
170.0,1,11.22,23.23,23.72,SCALE_DOWN,"target_instance_4,target_instance_1",normal
175.62,1,22.31,25.21,24.78,NO_ACTION,target_instance_1,normal
