elapsed_time_s,num_instances,average_cpu_percent,mem_usage,avg_rtt_ms,decision,active_containers_names,label
0.02,1,0.0,0.0,0.0,NO_ACTION,,normal
5.0,1,58.8,23.06,13.48,NO_ACTION,target_instance_1,normal
10.0,1,22.49,26.45,9.73,NO_ACTION,target_instance_1,normal
15.0,1,20.65,26.69,9.7,NO_ACTION,target_instance_1,normal
20.0,1,17.83,26.74,8.94,NO_ACTION,target_instance_1,normal
25.0,1,20.31,26.48,7.85,NO_ACTION,target_instance_1,normal
30.0,1,16.78,26.67,6.96,NO_ACTION,target_instance_1,normal
35.0,1,17.99,26.63,7.6,NO_ACTION,target_instance_1,normal
40.0,1,16.53,26.53,6.69,NO_ACTION,target_instance_1,normal
45.0,1,17.89,26.79,6.98,NO_ACTION,target_instance_1,normal
50.0,1,17.19,26.73,6.79,NO_ACTION,target_instance_1,normal
55.0,1,16.77,26.66,6.82,NO_ACTION,target_instance_1,normal
60.0,1,16.08,26.89,6.57,NO_ACTION,target_instance_1,normal
65.0,1,16.61,26.66,6.83,NO_ACTION,target_instance_1,normal
70.0,1,16.63,26.55,6.59,NO_ACTION,target_instance_1,normal
75.0,1,17.47,26.69,7.01,NO_ACTION,target_instance_1,normal
80.0,1,16.31,26.75,6.54,NO_ACTION,target_instance_1,normal
85.0,1,17.01,26.8,6.75,NO_ACTION,target_instance_1,normal
90.0,1,17.66,26.79,6.86,NO_ACTION,target_instance_1,normal
95.0,1,18.43,26.72,7.14,NO_ACTION,target_instance_1,normal
100.0,1,17.66,26.79,7.04,NO_ACTION,target_instance_1,normal
105.0,1,18.16,26.8,8.94,NO_ACTION,target_instance_1,normal
110.0,1,20.5,26.76,7.51,NO_ACTION,target_instance_1,normal
115.0,1,16.07,26.74,7.39,NO_ACTION,target_instance_1,normal
120.0,1,15.23,26.89,6.15,NO_ACTION,target_instance_1,normal
125.0,1,16.72,26.87,6.66,NO_ACTION,target_instance_1,normal
130.0,1,15.24,26.74,6.44,NO_ACTION,target_instance_1,normal
135.0,1,15.79,26.79,6.37,NO_ACTION,target_instance_1,normal
140.0,1,15.7,26.79,6.12,NO_ACTION,target_instance_1,normal
145.0,1,16.52,26.7,6.35,NO_ACTION,target_instance_1,normal
150.0,1,15.67,26.91,6.1,NO_ACTION,target_instance_1,normal
155.0,1,16.18,26.89,6.41,NO_ACTION,target_instance_1,normal
160.0,1,14.91,26.86,5.98,NO_ACTION,target_instance_1,normal
165.0,1,17.09,26.94,7.27,NO_ACTION,target_instance_1,normal
170.0,1,15.21,26.7,6.19,NO_ACTION,target_instance_1,normal
175.0,1,16.67,26.73,6.28,NO_ACTION,target_instance_1,normal
