elapsed_time_s,num_instances,average_cpu_percent,mem_usage,avg_rtt_ms,decision,active_containers_names,label
0.01,1,0.0,0.0,0.0,NO_ACTION,,normal
5.0,1,12.86,22.63,9.8,NO_ACTION,target_instance_1,normal
10.0,1,12.46,22.77,8.81,NO_ACTION,target_instance_1,normal
15.0,1,14.45,22.79,9.33,NO_ACTION,target_instance_1,normal
20.0,1,11.4,22.82,8.42,NO_ACTION,target_instance_1,normal
25.0,1,14.31,22.95,10.18,NO_ACTION,target_instance_1,attack
30.0,1,11.87,22.92,8.71,NO_ACTION,target_instance_1,normal
35.0,1,12.75,22.86,9.19,NO_ACTION,target_instance_1,normal
40.0,1,12.98,22.73,9.51,NO_ACTION,target_instance_1,normal
45.0,1,15.25,23.42,14.34,NO_ACTION,target_instance_1,attack
50.0,1,12.25,23.01,9.8,NO_ACTION,target_instance_1,normal
55.0,1,12.95,23.21,8.66,NO_ACTION,target_instance_1,normal
60.0,1,11.94,23.24,8.07,NO_ACTION,target_instance_1,normal
65.0,1,13.5,23.03,10.96,NO_ACTION,target_instance_1,attack
70.0,1,10.86,23.56,8.57,NO_ACTION,target_instance_1,normal
75.0,1,11.69,23.04,8.81,NO_ACTION,target_instance_1,normal
80.0,1,13.26,23.19,9.1,NO_ACTION,target_instance_1,normal
85.0,1,14.14,23.24,11.14,NO_ACTION,target_instance_1,attack
90.0,1,12.24,23.07,8.59,NO_ACTION,target_instance_1,normal
95.0,1,11.59,23.33,8.35,NO_ACTION,target_instance_1,normal
100.0,1,12.38,23.1,8.59,NO_ACTION,target_instance_1,normal
105.0,1,12.04,23.2,8.8,NO_ACTION,target_instance_1,normal
110.0,1,12.33,23.34,8.52,NO_ACTION,target_instance_1,normal
115.0,1,11.87,23.15,7.92,NO_ACTION,target_instance_1,normal
120.0,1,13.93,23.26,10.62,NO_ACTION,target_instance_1,normal
125.0,1,12.97,23.31,9.03,NO_ACTION,target_instance_1,normal
130.0,1,13.43,23.35,9.04,NO_ACTION,target_instance_1,normal
135.0,1,11.57,23.4,8.44,NO_ACTION,target_instance_1,normal
140.0,1,12.45,23.32,9.25,NO_ACTION,target_instance_1,normal
145.0,1,12.57,23.31,8.55,NO_ACTION,target_instance_1,normal
150.0,1,12.58,23.17,9.76,NO_ACTION,target_instance_1,normal
155.0,1,12.62,23.23,8.9,NO_ACTION,target_instance_1,normal
160.0,1,12.14,23.37,8.84,NO_ACTION,target_instance_1,normal
165.0,1,12.93,23.25,9.03,NO_ACTION,target_instance_1,normal
170.0,1,12.54,23.33,9.01,NO_ACTION,target_instance_1,normal
175.0,1,12.33,23.42,8.89,NO_ACTION,target_instance_1,normal
