elapsed_time_s,num_instances,average_cpu_percent,mem_usage,avg_rtt_ms,decision,active_containers_names,label
0.01,1,0.0,0.0,0.0,NO_ACTION,,normal
5.0,1,2.7,12.8,5.17,NO_ACTION,target_instance_1,normal
10.0,1,3.16,12.82,4.98,NO_ACTION,target_instance_1,normal
15.0,1,3.57,12.86,4.95,NO_ACTION,target_instance_1,normal
20.0,1,3.02,12.88,5.16,NO_ACTION,target_instance_1,normal
25.0,1,3.53,12.82,5.24,NO_ACTION,target_instance_1,normal
30.0,1,3.85,13.12,5.31,NO_ACTION,target_instance_1,attack
35.0,2,75.97,12.85,198.0,SCALE_UP,target_instance_1,normal
40.0,2,2.06,12.83,5.5,NO_ACTION,target_instance_1,normal
45.0,2,1.62,12.79,5.5,NO_ACTION,"target_instance_1,target_instance_2",normal
50.0,2,1.65,12.79,5.45,NO_ACTION,"target_instance_1,target_instance_2",attack
55.0,2,40.78,12.92,210.13,NO_ACTION,"target_instance_1,target_instance_2",normal
60.0,1,1.59,12.82,5.61,SCALE_DOWN,"target_instance_1,target_instance_2",normal
65.57,1,2.13,12.82,5.67,NO_ACTION,target_instance_1,normal
70.0,1,1.64,13.14,5.64,NO_ACTION,target_instance_1,attack
75.0,1,80.22,13.02,213.21,NO_ACTION,target_instance_1,normal
80.0,1,4.37,13.17,5.74,NO_ACTION,target_instance_1,normal
85.0,1,2.89,12.96,5.7,NO_ACTION,target_instance_1,normal
90.0,1,2.89,12.89,5.66,NO_ACTION,target_instance_1,attack
95.0,2,84.1,13.43,212.23,SCALE_UP,target_instance_1,normal
100.0,2,1.77,12.91,5.69,NO_ACTION,target_instance_1,normal
105.0,2,1.32,12.96,5.66,NO_ACTION,"target_instance_1,target_instance_3",normal
110.0,2,1.49,12.96,5.59,NO_ACTION,"target_instance_1,target_instance_3",attack
115.0,2,42.63,12.93,214.06,NO_ACTION,"target_instance_1,target_instance_3",normal
