elapsed_time_s,num_instances,average_cpu_percent,mem_usage,avg_rtt_ms,decision,active_containers_names,label
0.0,1,0.0,0.0,0.0,NO_ACTION,,normal
5.0,1,1.5,11.11,2.35,NO_ACTION,target_instance_1,normal
10.0,1,1.03,11.0,2.23,NO_ACTION,target_instance_1,normal
15.0,1,1.22,11.03,2.04,NO_ACTION,target_instance_1,normal
20.0,1,1.06,10.98,1.97,NO_ACTION,target_instance_1,normal
25.0,1,1.4,11.02,1.94,NO_ACTION,target_instance_1,normal
30.0,1,1.0,10.95,1.89,NO_ACTION,target_instance_1,attack
35.0,2,99.74,11.05,221.94,SCALE_UP,target_instance_1,normal
40.0,2,0.69,10.99,2.58,NO_ACTION,target_instance_1,normal
45.0,2,0.63,10.95,2.53,NO_ACTION,"target_instance_1,target_instance_2",normal
50.0,2,0.7,10.93,2.45,NO_ACTION,"target_instance_1,target_instance_2",attack
55.0,2,56.82,10.94,180.31,NO_ACTION,"target_instance_1,target_instance_2",normal
60.0,1,0.71,10.95,2.43,SCALE_DOWN,"target_instance_1,target_instance_2",normal
65.71,1,0.79,10.96,2.37,NO_ACTION,target_instance_1,normal
70.0,1,0.78,11.01,2.36,NO_ACTION,target_instance_1,attack
75.0,1,96.38,11.07,191.34,NO_ACTION,target_instance_1,normal
80.0,1,1.71,11.05,2.37,NO_ACTION,target_instance_1,normal
85.0,1,1.13,11.04,2.34,NO_ACTION,target_instance_1,normal
90.0,1,1.25,11.07,2.33,NO_ACTION,target_instance_1,attack
95.0,2,90.85,11.04,195.03,SCALE_UP,target_instance_1,normal
100.0,2,0.56,11.0,2.47,NO_ACTION,target_instance_1,normal
105.0,2,0.69,10.96,2.43,NO_ACTION,"target_instance_1,target_instance_3",normal
110.0,2,0.74,10.96,2.4,NO_ACTION,"target_instance_1,target_instance_3",attack
115.0,2,52.26,11.0,182.51,NO_ACTION,"target_instance_1,target_instance_3",normal
