elapsed_time_s,num_instances,average_cpu_percent,mem_usage,avg_rtt_ms,decision,active_containers_names,label,host_cpu_percent
0.01,1,0.0,0.0,0.0,NO_ACTION,,normal,0.0
5.0,1,3.6,22.22,12.04,NO_ACTION,target_instance_1,normal,3.31
10.0,1,4.42,22.54,10.32,NO_ACTION,target_instance_1,normal,2.65
15.0,1,3.48,22.45,9.76,NO_ACTION,target_instance_1,normal,3.17
20.0,1,3.73,22.34,8.16,NO_ACTION,target_instance_1,normal,2.92
25.0,1,4.33,22.37,13.84,NO_ACTION,target_instance_1,normal,3.74
30.0,1,3.62,22.23,9.83,NO_ACTION,target_instance_1,normal,3.34
35.0,1,4.41,22.12,12.66,NO_ACTION,target_instance_1,normal,4.33
40.0,1,5.2,22.69,9.86,NO_ACTION,target_instance_1,normal,3.54
45.0,1,4.73,22.39,13.08,NO_ACTION,target_instance_1,normal,3.76
50.0,1,4.79,22.13,11.82,NO_ACTION,target_instance_1,normal,3.43
55.0,1,5.17,22.15,12.31,NO_ACTION,target_instance_1,normal,3.58
60.0,1,5.05,22.41,10.62,NO_ACTION,target_instance_1,normal,2.62
65.0,1,4.25,22.41,14.45,NO_ACTION,target_instance_1,normal,3.14
70.0,1,4.9,22.32,10.73,NO_ACTION,target_instance_1,normal,2.64
75.0,1,3.89,22.41,11.87,NO_ACTION,target_instance_1,normal,3.39
80.0,1,4.97,22.52,9.89,NO_ACTION,target_instance_1,normal,2.94
85.0,1,4.4,22.4,11.47,NO_ACTION,target_instance_1,normal,3.32
90.0,1,3.74,22.32,11.67,NO_ACTION,target_instance_1,normal,2.48
95.0,1,4.64,22.27,8.98,NO_ACTION,target_instance_1,normal,3.36
100.0,1,5.18,22.65,10.02,NO_ACTION,target_instance_1,normal,2.97
105.0,1,5.48,22.53,10.08,NO_ACTION,target_instance_1,normal,4.05
110.0,1,4.75,22.49,10.93,NO_ACTION,target_instance_1,normal,3.01
115.0,1,4.47,22.44,11.04,NO_ACTION,target_instance_1,normal,3.26
120.0,1,4.72,22.48,7.28,NO_ACTION,target_instance_1,normal,2.83
125.0,1,3.88,22.59,12.06,NO_ACTION,target_instance_1,normal,3.34
130.0,1,3.97,22.37,13.15,NO_ACTION,target_instance_1,normal,3.11
135.0,1,5.65,22.35,13.78,NO_ACTION,target_instance_1,normal,4.0
140.0,1,4.69,22.57,9.96,NO_ACTION,target_instance_1,normal,3.17
145.0,1,4.45,22.65,9.82,NO_ACTION,target_instance_1,normal,3.39
150.0,1,4.51,22.55,9.83,NO_ACTION,target_instance_1,normal,3.06
155.0,1,4.71,22.58,11.74,NO_ACTION,target_instance_1,normal,3.39
160.0,1,5.19,22.49,14.83,NO_ACTION,target_instance_1,normal,3.33
165.0,1,3.01,22.67,12.31,NO_ACTION,target_instance_1,normal,3.69
170.0,1,4.66,22.35,13.92,NO_ACTION,target_instance_1,normal,3.14
175.0,1,5.48,22.41,12.06,NO_ACTION,target_instance_1,normal,3.59
