elapsed_time_s,num_instances,average_cpu_percent,mem_usage,avg_rtt_ms,decision,active_containers_names,label
0.03,1,0.0,0.0,0.0,NO_ACTION,,normal
5.0,2,79.44,24.48,43.04,SCALE_UP,target_instance_1,normal
10.0,2,79.55,24.88,42.02,NO_ACTION,target_instance_1,normal
15.0,2,41.31,20.4,43.18,NO_ACTION,"target_instance_2,target_instance_1",normal
20.01,2,22.94,18.43,40.02,NO_ACTION,"target_instance_2,target_instance_1",normal
25.01,2,42.18,20.24,42.13,NO_ACTION,"target_instance_2,target_instance_1",normal
30.0,2,50.99,21.88,41.09,NO_ACTION,"target_instance_2,target_instance_1",normal
35.0,2,39.17,20.4,41.28,NO_ACTION,"target_instance_2,target_instance_1",normal
40.0,2,36.57,20.27,40.66,NO_ACTION,"target_instance_2,target_instance_1",normal
45.02,2,43.29,20.52,42.16,NO_ACTION,"target_instance_2,target_instance_1",normal
50.0,2,35.84,20.41,39.83,NO_ACTION,"target_instance_2,target_instance_1",normal
55.0,2,28.38,18.42,42.23,NO_ACTION,"target_instance_2,target_instance_1",normal
60.0,2,41.71,20.28,41.63,NO_ACTION,"target_instance_2,target_instance_1",normal
65.01,2,41.76,20.28,43.45,NO_ACTION,"target_instance_2,target_instance_1",normal
70.01,2,53.92,22.23,41.7,NO_ACTION,"target_instance_2,target_instance_1",normal
75.0,2,37.42,20.28,41.3,NO_ACTION,"target_instance_2,target_instance_1",normal
80.0,2,36.02,20.54,41.12,NO_ACTION,"target_instance_2,target_instance_1",normal
85.01,2,42.05,20.39,45.97,NO_ACTION,"target_instance_2,target_instance_1",normal
90.01,2,30.47,18.74,50.93,NO_ACTION,"target_instance_2,target_instance_1",normal
95.01,2,41.28,20.28,43.04,NO_ACTION,"target_instance_2,target_instance_1",normal
100.0,2,46.86,20.52,41.52,NO_ACTION,"target_instance_2,target_instance_1",normal
105.01,2,36.24,20.27,41.9,NO_ACTION,"target_instance_2,target_instance_1",normal
110.0,2,49.97,22.29,40.72,NO_ACTION,"target_instance_2,target_instance_1",normal
115.0,2,40.75,20.41,41.9,NO_ACTION,"target_instance_2,target_instance_1",normal
120.0,2,38.63,20.28,41.03,NO_ACTION,"target_instance_2,target_instance_1",normal
125.0,2,27.36,18.5,41.95,NO_ACTION,"target_instance_2,target_instance_1",normal
130.0,2,42.34,20.4,42.91,NO_ACTION,"target_instance_2,target_instance_1",normal
135.0,2,42.8,20.52,43.96,NO_ACTION,"target_instance_2,target_instance_1",normal
140.0,2,51.38,22.22,40.39,NO_ACTION,"target_instance_2,target_instance_1",normal
145.0,2,40.2,20.28,42.06,NO_ACTION,"target_instance_2,target_instance_1",normal
150.0,2,36.33,20.53,41.2,NO_ACTION,"target_instance_2,target_instance_1",normal
155.0,2,42.44,20.52,42.43,NO_ACTION,"target_instance_2,target_instance_1",normal
160.0,1,24.08,18.67,40.55,SCALE_DOWN,"target_instance_2,target_instance_1",normal
165.7,1,82.57,25.97,42.69,NO_ACTION,target_instance_1,normal
170.0,1,78.74,25.93,42.62,NO_ACTION,target_instance_1,normal
175.01,1,77.11,25.73,41.59,NO_ACTION,target_instance_1,normal
