elapsed_time_s,num_instances,average_cpu_percent,mem_usage,avg_rtt_ms,decision,active_containers_names,label
0.02,1,0.0,0.0,0.0,NO_ACTION,,normal
5.0,1,46.28,24.14,35.16,NO_ACTION,target_instance_1,normal
10.0,1,42.47,24.77,34.3,NO_ACTION,target_instance_1,normal
15.0,1,49.28,24.7,34.49,NO_ACTION,target_instance_1,normal
20.0,1,42.82,24.69,33.47,NO_ACTION,target_instance_1,normal
25.0,1,41.92,24.68,33.14,NO_ACTION,target_instance_1,normal
30.0,1,41.06,24.71,33.75,NO_ACTION,target_instance_1,normal
35.0,2,68.22,25.59,40.4,SCALE_UP,target_instance_1,normal
40.0,2,34.04,21.66,35.59,NO_ACTION,"target_instance_2,target_instance_1",normal
45.0,2,20.12,20.07,33.41,NO_ACTION,"target_instance_2,target_instance_1",normal
50.0,2,13.84,18.36,33.36,NO_ACTION,"target_instance_2,target_instance_1",normal
55.0,1,21.58,20.2,33.45,SCALE_DOWN,"target_instance_2,target_instance_1",normal
60.99,1,37.49,25.2,35.44,NO_ACTION,target_instance_1,normal
65.0,1,50.79,25.57,34.63,NO_ACTION,target_instance_1,normal
70.0,1,41.9,24.95,34.76,NO_ACTION,target_instance_1,normal
75.0,1,47.4,25.32,34.4,NO_ACTION,target_instance_1,normal
80.0,1,39.13,25.19,32.93,NO_ACTION,target_instance_1,normal
85.0,1,43.33,25.07,35.35,NO_ACTION,target_instance_1,normal
90.0,1,38.4,25.19,33.97,NO_ACTION,target_instance_1,normal
95.0,1,45.48,25.56,34.5,NO_ACTION,target_instance_1,normal
100.0,1,49.29,25.06,34.54,NO_ACTION,target_instance_1,normal
105.0,1,42.79,25.31,33.98,NO_ACTION,target_instance_1,normal
110.0,1,41.99,25.2,33.42,NO_ACTION,target_instance_1,normal
115.0,1,41.22,24.94,34.86,NO_ACTION,target_instance_1,normal
120.0,1,41.07,25.2,32.81,NO_ACTION,target_instance_1,normal
125.0,1,43.7,25.31,35.25,NO_ACTION,target_instance_1,normal
130.0,1,40.63,25.19,34.22,NO_ACTION,target_instance_1,normal
135.0,1,41.23,25.31,34.38,NO_ACTION,target_instance_1,normal
140.0,1,41.73,25.29,33.36,NO_ACTION,target_instance_1,normal
145.0,1,44.09,25.43,34.94,NO_ACTION,target_instance_1,normal
150.0,1,41.0,25.2,32.65,NO_ACTION,target_instance_1,normal
155.0,1,45.83,25.2,34.43,NO_ACTION,target_instance_1,normal
160.0,1,40.86,25.27,33.91,NO_ACTION,target_instance_1,normal
165.0,1,48.28,24.95,35.1,NO_ACTION,target_instance_1,normal
170.0,1,45.41,25.31,34.39,NO_ACTION,target_instance_1,normal
175.0,1,41.48,25.2,33.58,NO_ACTION,target_instance_1,normal
