elapsed_time_s,num_instances,average_cpu_percent,mem_usage,avg_rtt_ms,decision,active_containers_names,label
0.02,1,0.0,0.0,0.0,NO_ACTION,,normal
5.0,1,48.27,23.87,36.34,NO_ACTION,target_instance_1,normal
10.0,1,37.49,24.05,35.08,NO_ACTION,target_instance_1,normal
15.0,1,45.32,24.52,35.87,NO_ACTION,target_instance_1,normal
20.0,1,40.31,25.05,34.7,NO_ACTION,target_instance_1,normal
25.0,1,38.37,24.67,33.98,NO_ACTION,target_instance_1,normal
30.0,1,42.29,24.87,34.23,NO_ACTION,target_instance_1,normal
35.01,1,49.92,25.28,35.08,NO_ACTION,target_instance_1,normal
40.0,1,40.69,24.99,33.67,NO_ACTION,target_instance_1,normal
45.0,1,45.56,25.04,34.85,NO_ACTION,target_instance_1,normal
50.0,1,41.69,25.58,34.85,NO_ACTION,target_instance_1,normal
55.0,1,43.7,24.97,35.34,NO_ACTION,target_instance_1,normal
60.0,1,43.21,25.09,35.05,NO_ACTION,target_instance_1,normal
65.01,1,50.18,24.96,35.76,NO_ACTION,target_instance_1,normal
70.0,1,48.66,25.55,35.49,NO_ACTION,target_instance_1,normal
75.0,1,48.45,25.1,35.06,NO_ACTION,target_instance_1,normal
80.0,1,46.17,25.22,34.9,NO_ACTION,target_instance_1,normal
85.0,1,45.81,25.22,35.25,NO_ACTION,target_instance_1,normal
90.0,1,45.88,25.39,35.15,NO_ACTION,target_instance_1,normal
95.0,1,42.12,25.32,34.74,NO_ACTION,target_instance_1,normal
100.0,1,49.8,25.21,35.45,NO_ACTION,target_instance_1,normal
105.0,1,45.64,25.22,36.01,NO_ACTION,target_instance_1,normal
110.0,1,46.69,25.34,34.76,NO_ACTION,target_instance_1,normal
115.0,1,45.36,25.21,35.46,NO_ACTION,target_instance_1,normal
120.0,1,47.65,25.21,35.12,NO_ACTION,target_instance_1,normal
125.0,1,56.57,25.21,35.41,NO_ACTION,target_instance_1,normal
130.0,1,48.39,25.33,34.92,NO_ACTION,target_instance_1,normal
135.0,2,65.83,25.21,37.71,SCALE_UP,target_instance_1,normal
140.0,2,37.91,21.7,36.53,NO_ACTION,"target_instance_2,target_instance_1",normal
145.0,2,26.23,20.2,36.88,NO_ACTION,"target_instance_2,target_instance_1",normal
150.06,2,29.64,19.95,48.51,NO_ACTION,"target_instance_2,target_instance_1",normal
155.0,2,33.27,20.22,48.31,NO_ACTION,"target_instance_2,target_instance_1",normal
160.0,2,51.89,21.92,38.73,NO_ACTION,"target_instance_2,target_instance_1",normal
165.0,1,21.7,19.99,37.14,SCALE_DOWN,"target_instance_2,target_instance_1",normal
170.7,1,60.41,25.29,36.36,NO_ACTION,target_instance_1,normal
175.0,1,56.72,25.53,36.88,NO_ACTION,target_instance_1,normal
