elapsed_time_s,num_instances,average_cpu_percent,mem_usage,avg_rtt_ms,decision,active_containers_names,label
0.02,1,0.0,0.0,0.0,NO_ACTION,,normal
5.0,1,38.57,23.63,70.22,NO_ACTION,target_instance_1,normal
10.0,1,31.45,24.28,33.15,NO_ACTION,target_instance_1,normal
15.01,1,22.63,23.99,33.37,NO_ACTION,target_instance_1,normal
20.0,1,34.08,24.49,36.59,NO_ACTION,target_instance_1,normal
25.0,1,32.16,24.23,34.82,NO_ACTION,target_instance_1,normal
30.01,1,29.22,24.37,35.97,NO_ACTION,target_instance_1,normal
35.01,1,32.58,24.24,37.28,NO_ACTION,target_instance_1,normal
40.01,1,24.17,24.36,35.41,NO_ACTION,target_instance_1,normal
45.01,1,31.12,24.37,37.98,NO_ACTION,target_instance_1,normal
50.0,1,31.31,24.49,39.87,NO_ACTION,target_instance_1,normal
55.01,1,34.09,24.36,40.31,NO_ACTION,target_instance_1,normal
60.0,1,26.42,24.12,37.43,NO_ACTION,target_instance_1,normal
65.01,1,28.87,23.98,41.25,NO_ACTION,target_instance_1,normal
70.01,1,34.64,24.3,43.54,NO_ACTION,target_instance_1,normal
75.0,1,30.65,24.23,42.65,NO_ACTION,target_instance_1,normal
80.0,1,28.49,24.11,40.32,NO_ACTION,target_instance_1,normal
85.0,1,23.1,24.1,38.06,NO_ACTION,target_instance_1,normal
90.01,1,16.21,24.1,35.51,NO_ACTION,target_instance_1,normal
95.0,1,17.99,24.34,35.4,NO_ACTION,target_instance_1,normal
100.02,1,19.46,24.39,37.42,NO_ACTION,target_instance_1,normal
105.0,1,26.25,24.48,43.47,NO_ACTION,target_instance_1,normal
110.01,1,23.95,24.62,42.34,NO_ACTION,target_instance_1,normal
115.01,1,22.85,24.47,40.35,NO_ACTION,target_instance_1,normal
120.0,1,25.27,24.36,41.75,NO_ACTION,target_instance_1,normal
125.0,1,22.04,24.34,41.19,NO_ACTION,target_instance_1,normal
130.01,1,19.64,24.2,39.73,NO_ACTION,target_instance_1,normal
135.0,1,22.77,24.69,42.96,NO_ACTION,target_instance_1,normal
140.03,1,24.76,24.05,43.22,NO_ACTION,target_instance_1,normal
145.01,1,28.78,24.16,47.18,NO_ACTION,target_instance_1,normal
150.0,1,15.91,23.87,37.05,NO_ACTION,target_instance_1,normal
155.01,1,14.93,23.99,40.69,NO_ACTION,target_instance_1,normal
160.0,1,14.51,24.25,38.54,NO_ACTION,target_instance_1,normal
165.0,1,11.27,24.33,36.34,NO_ACTION,target_instance_1,normal
170.0,1,9.6,24.01,33.68,NO_ACTION,target_instance_1,normal
175.0,1,15.36,24.09,40.99,NO_ACTION,target_instance_1,normal
