elapsed_time_s,num_instances,average_cpu_percent,mem_usage,avg_rtt_ms,decision,active_containers_names,label
0.01,1,0.0,0.0,0.0,NO_ACTION,,normal
5.0,2,63.11,24.61,57.72,SCALE_UP,target_instance_1,normal
10.0,2,74.93,25.45,42.15,NO_ACTION,target_instance_1,normal
15.0,2,32.87,20.33,40.32,NO_ACTION,"target_instance_1,target_instance_2",normal
20.0,2,14.5,18.61,37.3,NO_ACTION,"target_instance_1,target_instance_2",normal
25.0,2,27.33,19.91,38.61,NO_ACTION,"target_instance_1,target_instance_2",normal
30.0,1,20.6,19.92,37.05,SCALE_DOWN,"target_instance_1,target_instance_2",normal
35.71,1,49.51,24.9,39.31,NO_ACTION,target_instance_1,normal
40.0,1,44.43,25.39,37.46,NO_ACTION,target_instance_1,normal
45.01,1,46.75,25.16,38.09,NO_ACTION,target_instance_1,normal
50.0,1,37.95,25.04,37.78,NO_ACTION,target_instance_1,normal
55.0,1,37.75,24.92,38.02,NO_ACTION,target_instance_1,normal
60.0,1,43.73,25.26,38.37,NO_ACTION,target_instance_1,normal
65.0,1,44.04,25.16,40.76,NO_ACTION,target_instance_1,normal
70.0,1,39.31,25.13,38.27,NO_ACTION,target_instance_1,normal
75.0,1,41.74,25.01,39.33,NO_ACTION,target_instance_1,normal
80.09,1,41.11,25.22,40.22,NO_ACTION,target_instance_1,normal
85.0,1,34.4,25.1,38.94,NO_ACTION,target_instance_1,normal
90.0,1,35.98,25.23,36.65,NO_ACTION,target_instance_1,normal
95.0,1,31.6,25.12,37.02,NO_ACTION,target_instance_1,normal
100.0,1,27.75,25.5,38.13,NO_ACTION,target_instance_1,normal
105.0,1,34.49,25.13,39.59,NO_ACTION,target_instance_1,normal
110.0,1,34.42,25.23,40.69,NO_ACTION,target_instance_1,normal
115.0,1,34.97,25.29,40.46,NO_ACTION,target_instance_1,normal
120.0,1,37.01,25.27,40.69,NO_ACTION,target_instance_1,normal
125.0,1,35.89,25.25,42.23,NO_ACTION,target_instance_1,normal
130.0,1,34.0,25.14,39.24,NO_ACTION,target_instance_1,normal
135.01,1,33.22,25.14,42.54,NO_ACTION,target_instance_1,normal
140.0,1,34.08,25.14,41.88,NO_ACTION,target_instance_1,normal
145.01,1,36.81,25.26,43.35,NO_ACTION,target_instance_1,normal
150.01,1,33.47,24.89,40.47,NO_ACTION,target_instance_1,normal
155.0,1,37.31,25.26,42.98,NO_ACTION,target_instance_1,normal
160.0,1,42.26,24.97,49.47,NO_ACTION,target_instance_1,normal
165.0,1,35.36,25.0,45.02,NO_ACTION,target_instance_1,normal
170.0,1,26.07,25.12,41.8,NO_ACTION,target_instance_1,normal
175.01,1,25.2,24.85,36.06,NO_ACTION,target_instance_1,normal
