file,baseline_mean_ms,baseline_std_ms,baseline_n_samples,burst_floor_ms,total_windows,bursts_detected,detection_rate,avg_entropy,avg_max_z,max_max_z,avg_cusum,max_cusum
experiment_results/wedos_grid/rtt_log_S3_atk1pct_wu100000_stage1b_rep1.csv,34.18726103606865,20.476445944202105,3826,61.537069864923566,19,0,0.0,1.705,3.209,5.7,4.3,17.0
experiment_results/wedos_grid/rtt_log_S3_atk1pct_wu100000_stage1b_rep2.csv,34.317206704677716,20.326460352636406,3911,61.77097206841989,19,0,0.0,1.674,3.422,5.11,5.2,17.0
experiment_results/wedos_grid/rtt_log_S3_atk1pct_wu125000_stage1b_rep1.csv,34.12686623789706,20.633322540881206,3842,61.42835922821471,19,0,0.0,1.645,4.901,9.48,202.5,3662.0
experiment_results/wedos_grid/rtt_log_S3_atk1pct_wu125000_stage1b_rep2.csv,34.35706311584598,20.39683535198304,3781,61.84271360852277,19,0,0.0,1.551,4.719,12.19,89.5,1568.0
experiment_results/wedos_grid/rtt_log_S3_atk1pct_wu150000_stage1b_rep1.csv,34.172649061031656,20.320638798752647,3949,61.510768309856985,19,0,0.0,1.645,5.148,9.28,119.1,2162.0
experiment_results/wedos_grid/rtt_log_S3_atk1pct_wu150000_stage1b_rep2.csv,34.28980165037384,20.42303297396354,3907,61.72164297067291,19,0,0.0,1.594,5.609,10.28,17.4,80.0
experiment_results/wedos_grid/rtt_log_S3_atk1pct_wu175000_stage1b_rep1.csv,33.91158459916703,20.62027263655012,3822,61.04085227850065,19,0,0.0,1.423,6.499,12.43,2352.8,18073.0
experiment_results/wedos_grid/rtt_log_S3_atk1pct_wu175000_stage1b_rep2.csv,34.202328043320456,20.531129788893868,3832,61.56419047797682,19,0,0.0,1.619,5.647,9.69,11.3,58.0
experiment_results/wedos_grid/rtt_log_S3_atk1pct_wu200000_stage1a_rep1.csv,33.84551736555095,20.653640889388566,3849,60.92193125799171,19,0,0.0,1.499,7.382,21.42,784.0,8718.0
experiment_results/wedos_grid/rtt_log_S3_atk1pct_wu300000_mystery_rep1.csv,33.794554043391784,20.454227041542747,3781,60.83019727810521,19,0,0.0,1.562,7.352,17.86,2015.8,11843.0
experiment_results/wedos_grid/rtt_log_S3_atk1pct_wu300000_mystery_rep2.csv,34.76046775278847,20.443284994887584,3859,62.56884195501925,19,0,0.0,1.447,7.444,14.49,231.0,2924.0
experiment_results/wedos_grid/rtt_log_S3_atk1pct_wu300000_mystery_rep3.csv,34.36975593563722,20.330620455281323,3853,61.865560684147,19,0,0.0,1.469,7.349,16.77,2014.5,17500.0
experiment_results/wedos_grid/rtt_log_S3_atk1pct_wu300000_stage1a_rep1.csv,34.352566220101195,20.931572987795704,3780,61.83461919618215,19,0,0.0,1.39,7.775,23.24,7014.3,47363.0
experiment_results/wedos_grid/rtt_log_S3_atk1pct_wu400000_stage1a_rep1.csv,34.001433910621635,20.586162986267656,3826,61.20258103911895,19,0,0.0,1.453,7.778,20.29,1756.8,16213.0
experiment_results/wedos_grid/rtt_log_S3_atk1pct_wu500000_stage1a_rep1.csv,34.907060886956565,20.738961800056618,3769,62.832709596521816,19,0,0.0,1.115,11.146,48.17,23232.7,113088.0
