num_attackers,rps_per_worker,planned_total_rps,num_targets,total_requests,elapsed_time_s,real_rps,errors
32,10.0,320.0,1,,,,
32,10.0,320.0,2,,,,
32,10.0,320.0,1,,,,
32,10.0,320.0,2,,,,
,10.0,,,1,60.509,0.017,56
,10.0,,,1,62.07,0.016,53
,10.0,,,1,62.225,0.016,53
,10.0,,,0,62.456,0.0,68
,10.0,,,0,62.546,0.0,60
,10.0,,,1,62.597,0.016,66
,10.0,,,1,62.638,0.016,70
,10.0,,,1,62.825,0.016,57
,10.0,,,0,62.861,0.0,56
,10.0,,,0,62.955,0.0,61
,10.0,,,1,62.981,0.016,68
,10.0,,,1,63.07,0.016,47
,10.0,,,1,63.243,0.016,57
,10.0,,,1,63.286,0.016,66
,10.0,,,0,63.26,0.0,68
,10.0,,,2,63.321,0.032,76
,10.0,,,12,63.302,0.19,40
,10.0,,,1,63.458,0.016,59
,10.0,,,1,63.416,0.016,65
,10.0,,,1,63.623,0.016,69
,10.0,,,1,63.702,0.016,63
,10.0,,,1,63.895,0.016,62
,10.0,,,1,63.937,0.016,63
,10.0,,,1,64.052,0.016,65
,10.0,,,2,64.1,0.031,68
,10.0,,,1,64.225,0.016,60
,10.0,,,1,64.258,0.016,68
,10.0,,,1,64.318,0.016,79
,10.0,,,1,64.375,0.016,61
,10.0,,,3,64.406,0.047,58
,10.0,,,1,64.433,0.016,64
,10.0,,,0,64.378,0.0,62
32,10.0,320.0,1,,,,
32,10.0,320.0,2,,,,
32,10.0,320.0,1,,,,
,10.0,,,0,151.333,0.0,211
,10.0,,,0,151.722,0.0,180
,10.0,,,0,151.728,0.0,207
,10.0,,,0,151.753,0.0,172
,10.0,,,0,151.742,0.0,196
,10.0,,,0,151.749,0.0,178
,10.0,,,0,151.907,0.0,212
,10.0,,,0,151.88,0.0,191
,10.0,,,0,152.398,0.0,199
,10.0,,,0,152.42,0.0,214
,10.0,,,0,152.395,0.0,206
,10.0,,,0,152.458,0.0,201
,10.0,,,0,152.468,0.0,233
,10.0,,,0,152.494,0.0,214
,10.0,,,0,152.471,0.0,199
,10.0,,,0,152.483,0.0,192
,10.0,,,0,153.117,0.0,200
,10.0,,,0,153.215,0.0,186
,10.0,,,0,153.453,0.0,207
,10.0,,,0,153.733,0.0,207
,10.0,,,0,153.734,0.0,202
,10.0,,,0,153.759,0.0,198
,10.0,,,0,153.755,0.0,206
,10.0,,,0,154.227,0.0,213
,10.0,,,0,154.295,0.0,230
,10.0,,,0,154.432,0.0,189
,10.0,,,0,154.428,0.0,167
,10.0,,,0,154.447,0.0,190
,10.0,,,0,154.478,0.0,195
,10.0,,,0,154.486,0.0,157
,10.0,,,0,154.483,0.0,222
,10.0,,,0,154.491,0.0,202
,10.0,,,0,136.419,0.0,120
,10.0,,,0,136.464,0.0,102
,10.0,,,0,136.485,0.0,126
,10.0,,,0,136.499,0.0,107
,10.0,,,0,136.499,0.0,122
,10.0,,,0,136.514,0.0,123
,10.0,,,0,136.522,0.0,132
,10.0,,,0,136.527,0.0,125
,10.0,,,0,136.524,0.0,114
,10.0,,,0,136.541,0.0,99
,10.0,,,0,136.544,0.0,103
,10.0,,,0,136.552,0.0,125
,10.0,,,0,136.547,0.0,101
,10.0,,,0,136.564,0.0,92
,10.0,,,0,136.568,0.0,134
,10.0,,,0,136.567,0.0,104
,10.0,,,0,136.576,0.0,109
,10.0,,,0,136.588,0.0,107
,10.0,,,0,136.589,0.0,103
,10.0,,,0,136.589,0.0,121
,10.0,,,0,136.602,0.0,117
