num_attackers,rps_per_worker,planned_total_rps,num_targets,total_requests,elapsed_time_s,real_rps,errors
4,20.0,80.0,1,,,,
4,20.0,80.0,2,,,,
,20.0,,,4,16.574,0.241,116
,20.0,,,8,16.633,0.481,115
,20.0,,,3,16.674,0.18,115
,20.0,,,9,16.671,0.54,126
4,20.0,80.0,3,,,,
4,20.0,80.0,4,,,,
,20.0,,,0,53.428,0.0,360
,20.0,,,10,54.114,0.185,353
,20.0,,,0,54.249,0.0,366
,20.0,,,2,54.276,0.037,359
,20.0,,,0,79.885,0.0,370
,20.0,,,24,80.083,0.3,365
,20.0,,,0,80.166,0.0,355
,20.0,,,0,80.199,0.0,365
