num_attackers,rps_per_worker,planned_total_rps,num_targets,total_requests,elapsed_time_s,real_rps,errors
4,10.0,40.0,1,,,,
4,10.0,40.0,2,,,,
,10.0,,,2,9.335,0.214,63
,10.0,,,7,9.334,0.75,41
,10.0,,,7,9.345,0.749,67
,10.0,,,4,9.377,0.427,62
4,10.0,40.0,3,,,,
,10.0,,,7,26.433,0.265,177
,10.0,,,0,26.474,0.0,199
,10.0,,,7,26.978,0.259,195
,10.0,,,0,26.983,0.0,215
4,10.0,40.0,4,,,,
,10.0,,,0,29.008,0.0,189
,10.0,,,0,29.189,0.0,191
,10.0,,,7,29.203,0.24,172
,10.0,,,0,29.369,0.0,170
,10.0,,,10,118.538,0.084,906
,10.0,,,0,118.552,0.0,878
,10.0,,,0,120.537,0.0,902
,10.0,,,0,120.544,0.0,912
