elapsed_time_s,num_instances,average_cpu_percent,mem_usage,avg_rtt_ms,decision,active_containers_names,label
0.02,1,0.0,0.0,0.0,NO_ACTION,,normal
5.0,1,12.09,22.13,17.91,NO_ACTION,target_instance_1,normal
10.0,1,7.88,22.31,14.57,NO_ACTION,target_instance_1,normal
15.0,1,9.17,22.07,16.46,NO_ACTION,target_instance_1,normal
20.0,1,7.14,22.34,14.82,NO_ACTION,target_instance_1,normal
25.0,2,198.93,26.21,1078.88,SCALE_UP,target_instance_1,attack
30.6,2,91.38,21.43,458.75,NO_ACTION,"target_instance_1,target_instance_2",attack
35.0,2,33.23,19.55,0.0,NO_ACTION,"target_instance_1,target_instance_2",attack
40.0,2,11.11,17.96,124.66,NO_ACTION,"target_instance_1,target_instance_2",attack
45.0,1,22.73,19.8,109.07,SCALE_DOWN,"target_instance_1,target_instance_2",attack
54.99,1,101.63,24.01,157.05,NO_ACTION,target_instance_1,attack
55.02,1,101.63,24.01,0.0,NO_ACTION,target_instance_1,attack
60.0,1,36.91,23.9,0.0,NO_ACTION,target_instance_1,attack
65.0,2,128.65,23.91,0.0,SCALE_UP,target_instance_1,attack
70.8,2,102.36,24.02,0.0,NO_ACTION,target_instance_1,attack
75.0,2,23.25,19.44,0.0,NO_ACTION,"target_instance_1,target_instance_3",attack
80.0,2,58.33,19.44,0.0,NO_ACTION,"target_instance_1,target_instance_3",attack
85.0,2,25.92,19.45,374.29,NO_ACTION,"target_instance_1,target_instance_3",attack
90.0,1,18.35,17.91,0.0,SCALE_DOWN,"target_instance_1,target_instance_3",attack
99.95,1,112.8,23.88,0.0,NO_ACTION,target_instance_1,attack
100.0,1,112.8,23.88,0.0,NO_ACTION,target_instance_1,attack
105.0,1,40.08,23.84,0.0,NO_ACTION,target_instance_1,attack
110.0,1,43.78,23.91,0.0,NO_ACTION,target_instance_1,attack
115.0,2,113.49,23.94,0.0,SCALE_UP,target_instance_1,attack
120.62,2,7.79,23.85,0.0,NO_ACTION,target_instance_1,attack
125.0,2,6.16,19.4,0.0,NO_ACTION,"target_instance_1,target_instance_4",attack
130.0,2,43.07,19.49,0.0,NO_ACTION,"target_instance_1,target_instance_4",attack
135.0,1,5.59,19.4,0.0,SCALE_DOWN,"target_instance_1,target_instance_4",attack
144.75,1,85.76,24.04,0.0,NO_ACTION,target_instance_1,attack
145.0,1,85.76,24.04,0.0,NO_ACTION,target_instance_1,attack
150.0,1,77.94,23.93,0.0,NO_ACTION,target_instance_1,attack
155.0,1,19.99,23.85,0.0,NO_ACTION,target_instance_1,attack
160.0,1,53.29,24.01,0.0,NO_ACTION,target_instance_1,attack
165.0,2,75.62,24.27,0.0,SCALE_UP,target_instance_1,normal
170.0,2,16.17,23.97,0.0,NO_ACTION,target_instance_1,normal
175.0,2,1.06,17.92,0.0,NO_ACTION,"target_instance_1,target_instance_5",normal
