elapsed_time_s,num_instances,average_cpu_percent,mem_usage,avg_rtt_ms,decision,active_containers_names,label
0.02,1,0.0,0.0,0.0,NO_ACTION,,normal
5.0,1,10.57,22.21,16.88,NO_ACTION,target_instance_1,normal
10.0,1,8.63,22.49,18.47,NO_ACTION,target_instance_1,normal
15.0,1,8.47,22.57,16.91,NO_ACTION,target_instance_1,normal
20.0,1,8.63,22.47,18.9,NO_ACTION,target_instance_1,normal
25.0,2,215.42,36.08,1074.66,SCALE_UP,target_instance_1,attack
30.0,2,217.48,50.77,0.0,NO_ACTION,target_instance_1,attack
35.0,2,106.54,40.97,0.0,NO_ACTION,"target_instance_2,target_instance_1",attack
40.0,2,70.5,36.08,0.0,NO_ACTION,"target_instance_2,target_instance_1",attack
45.0,3,108.75,56.39,0.0,SCALE_UP,"target_instance_2,target_instance_1",attack
50.0,3,109.68,63.19,0.0,NO_ACTION,"target_instance_2,target_instance_1",attack
55.0,3,141.45,53.57,1102.59,NO_ACTION,"target_instance_2,target_instance_3,target_instance_1",attack
60.0,3,141.76,60.64,0.0,NO_ACTION,"target_instance_2,target_instance_3,target_instance_1",attack
65.01,4,140.51,66.64,0.0,SCALE_UP,"target_instance_2,target_instance_3,target_instance_1",attack
70.0,4,134.15,67.86,0.0,NO_ACTION,"target_instance_2,target_instance_3,target_instance_1",attack
75.0,4,133.16,73.72,0.0,NO_ACTION,"target_instance_2,target_instance_3,target_instance_1",attack
80.0,4,101.47,64.24,0.0,NO_ACTION,"target_instance_4,target_instance_2,target_instance_3,target_instance_1",attack
85.0,4,103.79,65.37,0.0,NO_ACTION,"target_instance_4,target_instance_2,target_instance_3,target_instance_1",attack
90.0,4,103.49,71.4,0.0,NO_ACTION,"target_instance_4,target_instance_2,target_instance_3,target_instance_1",attack
95.0,4,102.69,75.95,0.0,NO_ACTION,"target_instance_4,target_instance_2,target_instance_3,target_instance_1",attack
100.01,4,100.73,77.33,0.0,NO_ACTION,"target_instance_4,target_instance_2,target_instance_3,target_instance_1",attack
105.0,4,101.35,82.98,0.0,NO_ACTION,"target_instance_4,target_instance_2,target_instance_3,target_instance_1",attack
110.0,4,103.4,84.5,0.0,NO_ACTION,"target_instance_4,target_instance_2,target_instance_3,target_instance_1",attack
115.0,4,101.4,88.72,0.0,NO_ACTION,"target_instance_4,target_instance_2,target_instance_3,target_instance_1",attack
120.05,4,101.4,88.72,0.0,NO_ACTION,"target_instance_4,target_instance_2,target_instance_3,target_instance_1",attack
125.0,4,102.17,88.86,0.0,NO_ACTION,"target_instance_4,target_instance_2,target_instance_3,target_instance_1",attack
130.01,4,101.09,87.76,0.0,NO_ACTION,"target_instance_4,target_instance_2,target_instance_3,target_instance_1",attack
135.01,4,99.73,88.76,0.0,NO_ACTION,"target_instance_4,target_instance_2,target_instance_3,target_instance_1",attack
140.05,4,102.64,88.53,0.0,NO_ACTION,"target_instance_4,target_instance_2,target_instance_3,target_instance_1",attack
145.01,4,128.07,90.18,760.97,NO_ACTION,"target_instance_4,target_instance_2,target_instance_3,target_instance_1",attack
150.04,4,150.86,90.16,1288.4,NO_ACTION,"target_instance_4,target_instance_2,target_instance_3,target_instance_1",attack
155.0,4,150.83,88.79,1700.29,NO_ACTION,"target_instance_4,target_instance_2,target_instance_3,target_instance_1",attack
160.0,4,146.15,89.2,0.0,NO_ACTION,"target_instance_4,target_instance_2,target_instance_3,target_instance_1",attack
165.0,4,144.62,88.09,0.0,NO_ACTION,"target_instance_4,target_instance_2,target_instance_3,target_instance_1",normal
170.0,4,149.2,89.13,0.0,NO_ACTION,"target_instance_4,target_instance_2,target_instance_3,target_instance_1",normal
175.0,4,147.86,88.07,0.0,NO_ACTION,"target_instance_4,target_instance_2,target_instance_3,target_instance_1",normal
