elapsed_time_s,num_instances,average_cpu_percent,mem_usage,avg_rtt_ms,decision,active_containers_names,label
0.03,1,0.0,0.0,0.0,NO_ACTION,,normal
5.0,1,7.8,22.85,16.53,NO_ACTION,target_instance_1,normal
10.0,1,7.47,22.74,14.42,NO_ACTION,target_instance_1,normal
15.0,1,7.96,22.99,16.24,NO_ACTION,target_instance_1,normal
20.0,1,7.26,23.1,16.87,NO_ACTION,target_instance_1,normal
25.0,2,211.3,36.28,1132.26,SCALE_UP,target_instance_1,attack
30.0,2,209.29,50.19,981.03,NO_ACTION,target_instance_1,attack
35.0,2,204.28,46.53,1695.87,NO_ACTION,"target_instance_2,target_instance_1",attack
40.0,2,201.71,45.99,0.0,NO_ACTION,"target_instance_2,target_instance_1",attack
45.0,3,207.45,64.97,0.0,SCALE_UP,"target_instance_2,target_instance_1",attack
50.0,3,206.17,72.88,0.0,NO_ACTION,"target_instance_2,target_instance_1",attack
55.0,3,209.29,80.09,1048.93,NO_ACTION,"target_instance_2,target_instance_1",attack
60.0,3,197.45,67.9,1804.58,NO_ACTION,"target_instance_3,target_instance_2,target_instance_1",attack
65.0,4,195.54,75.83,0.0,SCALE_UP,"target_instance_3,target_instance_2,target_instance_1",attack
70.0,4,192.82,77.42,0.0,NO_ACTION,"target_instance_3,target_instance_2,target_instance_1",attack
75.0,4,196.21,84.64,0.0,NO_ACTION,"target_instance_3,target_instance_2,target_instance_1",attack
80.01,4,184.68,74.08,1247.01,NO_ACTION,"target_instance_3,target_instance_2,target_instance_4,target_instance_1",attack
85.0,4,186.61,76.56,0.0,NO_ACTION,"target_instance_3,target_instance_2,target_instance_4,target_instance_1",attack
90.0,4,190.05,81.94,0.0,NO_ACTION,"target_instance_3,target_instance_2,target_instance_4,target_instance_1",attack
95.0,4,178.63,88.38,0.0,NO_ACTION,"target_instance_3,target_instance_2,target_instance_4,target_instance_1",attack
100.0,4,184.59,89.88,0.0,NO_ACTION,"target_instance_3,target_instance_2,target_instance_4,target_instance_1",attack
105.0,4,184.37,95.87,0.0,NO_ACTION,"target_instance_3,target_instance_2,target_instance_4,target_instance_1",attack
110.0,4,182.88,98.1,0.0,NO_ACTION,"target_instance_3,target_instance_2,target_instance_4,target_instance_1",attack
115.0,4,185.45,103.43,0.0,NO_ACTION,"target_instance_3,target_instance_2,target_instance_4,target_instance_1",attack
120.0,4,196.38,106.18,0.0,NO_ACTION,"target_instance_3,target_instance_2,target_instance_4,target_instance_1",attack
125.0,4,193.21,112.35,0.0,NO_ACTION,"target_instance_3,target_instance_2,target_instance_4,target_instance_1",attack
130.0,4,184.38,113.98,0.0,NO_ACTION,"target_instance_3,target_instance_2,target_instance_4,target_instance_1",attack
135.0,4,183.79,119.76,0.0,NO_ACTION,"target_instance_3,target_instance_2,target_instance_4,target_instance_1",attack
140.0,4,186.3,125.07,0.0,NO_ACTION,"target_instance_3,target_instance_2,target_instance_4,target_instance_1",attack
145.0,4,187.7,127.18,0.0,NO_ACTION,"target_instance_3,target_instance_2,target_instance_4,target_instance_1",attack
150.04,4,191.83,132.4,0.0,NO_ACTION,"target_instance_3,target_instance_2,target_instance_4,target_instance_1",attack
155.0,4,187.65,134.28,0.0,NO_ACTION,"target_instance_3,target_instance_2,target_instance_4,target_instance_1",attack
160.01,4,187.18,135.49,0.0,NO_ACTION,"target_instance_3,target_instance_2,target_instance_4,target_instance_1",attack
165.0,4,189.7,135.83,0.0,NO_ACTION,"target_instance_3,target_instance_2,target_instance_4,target_instance_1",normal
170.0,4,193.55,138.11,0.0,NO_ACTION,"target_instance_3,target_instance_2,target_instance_4,target_instance_1",normal
175.0,4,191.48,137.64,0.0,NO_ACTION,"target_instance_3,target_instance_2,target_instance_4,target_instance_1",normal
