num_attackers,rps_per_worker,planned_total_rps,num_targets,total_requests,elapsed_time_s,real_rps,errors
4,0.125,0.5,1,,,,
4,0.125,0.5,2,,,,
,0.125,,,9,33.708,0.267,0
4,0.125,0.5,1,,,,
,0.125,,,3,52.722,0.057,1
4,0.125,0.5,2,,,,
,0.125,,,21,141.234,0.149,0
,0.125,,,2,13.951,0.143,0
,0.125,,,3,34.936,0.086,0
,0.125,,,3,69.101,0.043,6
,0.125,,,6,35.302,0.17,0
,0.125,,,18,144.383,0.125,0
,0.125,,,4,37.031,0.108,0
,0.125,,,6,72.272,0.083,0
,0.125,,,3,19.722,0.152,0
,0.125,,,2,20.461,0.098,0
,0.125,,,18,153.161,0.118,0
,0.125,,,3,33.292,0.09,0
