num_attackers,rps_per_worker,planned_total_rps,num_targets,total_requests,elapsed_time_s,real_rps,errors
4,2.5,10.0,1,,,,
,2.5,,,16,6.905,2.317,0
,2.5,,,16,6.952,2.302,0
,2.5,,,16,6.971,2.295,0
,2.5,,,13,7.229,1.798,0
4,2.5,10.0,2,,,,
,2.5,,,38,19.1,1.99,0
,2.5,,,40,19.123,2.092,0
,2.5,,,54,19.508,2.768,0
,2.5,,,40,19.52,2.049,0
4,2.5,10.0,3,,,,
,2.5,,,50,22.763,2.197,1
,2.5,,,62,23.13,2.681,0
,2.5,,,57,23.238,2.453,0
4,2.5,10.0,2,,,,
,2.5,,,65,24.458,2.658,0
,2.5,,,130,48.538,2.678,0
,2.5,,,60,24.871,2.412,0
,2.5,,,54,25.049,2.156,0
,2.5,,,64,25.389,2.521,0
4,2.5,10.0,3,,,,
,2.5,,,137,62.4,2.195,0
,2.5,,,150,62.624,2.395,0
,2.5,,,147,62.925,2.336,0
,2.5,,,144,62.96,2.287,0
