num_attackers,rps_per_worker,planned_total_rps,num_targets,total_requests,elapsed_time_s,real_rps,errors
4,0.25,1.0,1,,,,
4,0.25,1.0,2,,,,
,0.25,,,12,19.625,0.611,0
,0.25,,,7,37.445,0.187,0
4,0.25,1.0,3,,,,
,0.25,,,4,23.082,0.173,0
,0.25,,,7,23.971,0.292,0
4,0.25,1.0,2,,,,
,0.25,,,16,68.284,0.234,0
,0.25,,,22,85.997,0.256,0
,0.25,,,18,68.309,0.264,0
,0.25,,,7,23.835,0.294,0
,0.25,,,18,87.043,0.207,0
4,0.25,1.0,1,,,,
,0.25,,,13,40.245,0.323,0
,0.25,,,4,65.155,0.061,17
,0.25,,,21,110.48,0.19,11
,0.25,,,20,90.646,0.221,0
4,0.25,1.0,2,,,,
,0.25,,,7,11.361,0.616,0
,0.25,,,11,102.212,0.108,15
,0.25,,,19,55.228,0.344,0
,0.25,,,5,14.194,0.352,0
,0.25,,,22,81.508,0.27,0
,0.25,,,16,57.243,0.28,0
,0.25,,,36,144.574,0.249,0
,0.25,,,4,16.295,0.245,0
,0.25,,,10,83.075,0.12,9
,0.25,,,11,59.28,0.186,0
,0.25,,,6,18.326,0.327,0
