num_attackers,rps_per_worker,planned_total_rps,num_targets,total_requests,elapsed_time_s,real_rps,errors
4,5.0,20.0,1,,,,
,5.0,,,21,6.531,3.215,8
,5.0,,,18,7.246,2.484,8
4,5.0,20.0,2,,,,
,5.0,,,29,7.605,3.813,3
,5.0,,,33,7.628,4.326,7
,5.0,,,120,18.726,6.408,0
,5.0,,,92,19.191,4.794,0
,5.0,,,89,19.681,4.522,6
4,5.0,20.0,3,,,,
,5.0,,,103,20.53,5.017,21
,5.0,,,132,23.732,5.562,0
,5.0,,,100,23.8,4.202,0
,5.0,,,105,24.588,4.27,7
4,5.0,20.0,4,,,,
,5.0,,,102,24.984,4.083,11
,5.0,,,426,88.008,4.84,0
,5.0,,,399,88.095,4.529,0
,5.0,,,413,88.099,4.688,0
,5.0,,,450,88.214,5.101,12
