num_attackers,rps_per_worker,planned_total_rps,num_targets,total_requests,elapsed_time_s,real_rps,errors
4,0.5,2.0,1,,,,
,0.5,,,4,6.897,0.58,0
,0.5,,,3,7.314,0.41,0
4,0.5,2.0,2,,,,
,0.5,,,15,35.843,0.418,0
,0.5,,,18,28.103,0.641,0
4,0.5,2.0,1,,,,
,0.5,,,8,19.499,0.41,0
,0.5,,,13,19.509,0.666,0
,0.5,,,7,19.656,0.356,0
,0.5,,,15,48.947,0.306,13
,0.5,,,32,49.115,0.652,0
4,0.5,2.0,2,,,,
,0.5,,,16,48.701,0.329,0
,0.5,,,35,86.012,0.407,0
,0.5,,,17,28.891,0.588,0
,0.5,,,15,28.889,0.519,0
,0.5,,,16,79.129,0.202,17
4,0.5,2.0,1,,,,
,0.5,,,12,29.775,0.403,0
,0.5,,,11,29.887,0.368,0
,0.5,,,15,30.592,0.49,0
4,0.5,2.0,2,,,,
,0.5,,,9,28.745,0.313,0
,0.5,,,13,89.953,0.145,27
,0.5,,,52,89.995,0.578,0
,0.5,,,16,30.201,0.53,0
,0.5,,,14,30.496,0.459,0
,0.5,,,21,31.961,0.657,1
,0.5,,,33,63.623,0.519,0
