num_attackers,rps_per_worker,planned_total_rps,num_targets,total_requests,elapsed_time_s,real_rps,errors
4,0.5,2.0,1,,,,
,0.5,,,4,6.658,0.601,0
,0.5,,,5,7.113,0.703,0
4,0.5,2.0,2,,,,
,0.5,,,14,29.027,0.482,0
,0.5,,,15,37.14,0.404,0
,0.5,,,20,30.027,0.666,0
,0.5,,,14,30.227,0.463,0
4,0.5,2.0,3,,,,
,0.5,,,27,47.598,0.567,0
,0.5,,,26,47.919,0.543,0
4,0.5,2.0,2,,,,
,0.5,,,45,94.126,0.478,0
,0.5,,,8,15.223,0.526,0
,0.5,,,11,15.253,0.721,0
4,0.5,2.0,3,,,,
,0.5,,,22,38.947,0.565,0
,0.5,,,52,88.357,0.589,0
,0.5,,,11,23.38,0.47,0
,0.5,,,12,23.443,0.512,0
,0.5,,,19,39.845,0.477,0
,0.5,,,10,23.718,0.422,0
4,0.5,2.0,2,,,,
,0.5,,,16,36.928,0.433,0
,0.5,,,6,13.426,0.447,0
,0.5,,,2,13.528,0.148,0
,0.5,,,6,14.23,0.422,0
,0.5,,,72,141.286,0.51,0
,0.5,,,51,103.326,0.494,0
,0.5,,,9,15.242,0.59,0
