elapsed_time_s,num_instances,average_cpu_percent,mem_usage,avg_rtt_ms,decision,active_containers_names,label,host_cpu_percent
0.0,1,0.0,0.0,0.0,NO_ACTION,,normal,0.0
5.0,1,7.57,10.99,1.91,NO_ACTION,target_instance_1,normal,3.37
10.0,1,8.49,11.11,1.82,NO_ACTION,target_instance_1,normal,3.27
15.0,1,7.35,11.05,1.79,NO_ACTION,target_instance_1,normal,2.85
20.0,1,7.64,11.04,1.76,NO_ACTION,target_instance_1,normal,3.03
25.0,1,9.0,12.51,232.37,NO_ACTION,target_instance_1,attack,3.68
30.0,1,16.77,11.19,60.75,NO_ACTION,target_instance_1,attack,4.04
35.0,1,11.9,11.24,70.22,NO_ACTION,target_instance_1,attack,2.37
40.0,1,7.51,11.16,62.29,NO_ACTION,target_instance_1,attack,3.82
45.0,1,12.9,11.19,60.67,NO_ACTION,target_instance_1,attack,3.63
50.0,1,11.67,11.17,81.52,NO_ACTION,target_instance_1,attack,2.47
55.0,1,8.25,11.15,64.78,NO_ACTION,target_instance_1,attack,3.63
60.0,1,11.18,11.23,61.77,NO_ACTION,target_instance_1,attack,3.2
65.0,1,13.85,11.18,65.38,NO_ACTION,target_instance_1,attack,2.77
70.0,1,8.42,11.26,60.57,NO_ACTION,target_instance_1,attack,3.36
75.0,1,10.9,11.21,57.78,NO_ACTION,target_instance_1,attack,3.98
80.0,1,20.78,11.19,67.49,NO_ACTION,target_instance_1,attack,4.31
85.0,1,12.3,11.2,62.44,NO_ACTION,target_instance_1,attack,3.83
90.0,1,15.3,11.21,64.11,NO_ACTION,target_instance_1,attack,3.03
95.0,1,9.95,11.18,60.99,NO_ACTION,target_instance_1,attack,2.6
100.0,1,10.5,11.15,53.81,NO_ACTION,target_instance_1,attack,2.73
105.0,1,8.09,11.19,70.29,NO_ACTION,target_instance_1,attack,3.32
110.0,1,10.56,11.19,62.68,NO_ACTION,target_instance_1,attack,3.81
115.0,1,11.52,11.15,60.54,NO_ACTION,target_instance_1,attack,3.7
120.0,1,10.42,11.17,62.4,NO_ACTION,target_instance_1,attack,3.18
125.0,1,8.07,11.16,58.78,NO_ACTION,target_instance_1,attack,3.56
130.0,1,11.58,11.17,60.31,NO_ACTION,target_instance_1,attack,3.61
135.0,1,13.51,11.16,58.88,NO_ACTION,target_instance_1,attack,3.37
140.0,1,9.76,11.17,57.69,NO_ACTION,target_instance_1,attack,3.18
145.0,1,9.54,11.19,58.22,NO_ACTION,target_instance_1,attack,3.29
150.0,1,13.4,11.19,56.69,NO_ACTION,target_instance_1,attack,2.81
155.0,1,13.44,11.18,59.14,NO_ACTION,target_instance_1,attack,2.93
160.0,1,11.99,11.22,63.3,NO_ACTION,target_instance_1,attack,3.59
165.0,1,7.68,11.19,1.84,NO_ACTION,target_instance_1,normal,3.25
170.0,1,7.49,11.25,1.84,NO_ACTION,target_instance_1,normal,2.74
175.0,1,8.05,11.25,1.77,NO_ACTION,target_instance_1,normal,2.66
