elapsed_time_s,num_instances,average_cpu_percent,mem_usage,avg_rtt_ms,decision,active_containers_names,label
0.02,1,0.0,0.0,0.0,NO_ACTION,,normal
5.0,1,24.06,22.79,26.57,NO_ACTION,target_instance_1,normal
10.0,1,18.34,22.9,27.77,NO_ACTION,target_instance_1,normal
15.0,1,23.01,23.02,25.94,NO_ACTION,target_instance_1,normal
20.0,1,18.27,23.48,25.53,NO_ACTION,target_instance_1,normal
25.0,1,41.11,24.85,190.01,NO_ACTION,target_instance_1,attack
30.0,1,27.32,25.32,114.04,NO_ACTION,target_instance_1,attack
35.0,1,44.65,24.96,172.2,NO_ACTION,target_instance_1,attack
40.0,1,35.73,25.12,154.74,NO_ACTION,target_instance_1,attack
45.0,1,28.14,25.49,144.36,NO_ACTION,target_instance_1,attack
50.0,1,28.24,25.13,138.33,NO_ACTION,target_instance_1,attack
55.0,1,27.43,25.12,114.11,NO_ACTION,target_instance_1,attack
60.0,1,21.74,25.13,108.16,NO_ACTION,target_instance_1,attack
65.0,1,24.63,25.13,128.97,NO_ACTION,target_instance_1,attack
70.0,1,26.16,25.06,0.0,NO_ACTION,target_instance_1,attack
75.0,1,22.49,25.13,152.39,NO_ACTION,target_instance_1,attack
80.0,1,18.34,25.26,157.65,NO_ACTION,target_instance_1,attack
85.0,1,31.46,25.02,122.51,NO_ACTION,target_instance_1,attack
90.0,1,37.56,25.01,137.96,NO_ACTION,target_instance_1,attack
95.0,1,42.39,25.26,140.89,NO_ACTION,target_instance_1,attack
100.0,1,24.7,25.23,125.75,NO_ACTION,target_instance_1,attack
105.0,1,20.8,25.15,112.78,NO_ACTION,target_instance_1,attack
110.0,1,35.5,25.28,124.14,NO_ACTION,target_instance_1,attack
115.0,1,22.52,25.14,119.46,NO_ACTION,target_instance_1,attack
120.0,1,30.5,25.14,134.61,NO_ACTION,target_instance_1,attack
125.0,1,25.87,25.26,270.78,NO_ACTION,target_instance_1,attack
130.0,1,19.1,25.14,103.53,NO_ACTION,target_instance_1,attack
135.0,1,26.85,25.14,119.34,NO_ACTION,target_instance_1,attack
140.0,1,32.66,25.51,128.76,NO_ACTION,target_instance_1,attack
145.0,1,37.45,25.14,133.92,NO_ACTION,target_instance_1,attack
150.0,1,38.85,25.27,123.89,NO_ACTION,target_instance_1,attack
155.0,1,22.31,25.28,149.16,NO_ACTION,target_instance_1,attack
160.0,1,24.99,25.39,110.04,NO_ACTION,target_instance_1,attack
165.0,1,19.85,25.48,26.99,NO_ACTION,target_instance_1,normal
170.0,1,21.99,25.27,26.82,NO_ACTION,target_instance_1,normal
175.0,1,23.29,24.94,25.07,NO_ACTION,target_instance_1,normal
