elapsed_time_s,num_instances,average_cpu_percent,mem_usage,avg_rtt_ms,decision,active_containers_names,label
0.01,1,0.0,0.0,0.0,NO_ACTION,,normal
5.0,1,26.17,22.58,28.33,NO_ACTION,target_instance_1,normal
10.0,1,17.72,22.8,25.61,NO_ACTION,target_instance_1,normal
15.0,1,21.25,22.83,25.07,NO_ACTION,target_instance_1,normal
20.0,1,20.75,23.09,25.85,NO_ACTION,target_instance_1,normal
25.0,1,28.02,24.9,170.58,NO_ACTION,target_instance_1,attack
30.0,1,22.46,24.46,107.11,NO_ACTION,target_instance_1,attack
35.0,1,23.37,24.64,98.33,NO_ACTION,target_instance_1,attack
40.0,1,27.04,24.87,95.48,NO_ACTION,target_instance_1,attack
45.0,1,18.69,24.55,86.64,NO_ACTION,target_instance_1,attack
50.0,1,35.51,24.76,101.09,NO_ACTION,target_instance_1,attack
55.0,1,56.75,25.12,99.21,NO_ACTION,target_instance_1,attack
60.0,1,38.99,25.09,106.49,NO_ACTION,target_instance_1,attack
65.0,1,20.31,24.99,107.25,NO_ACTION,target_instance_1,attack
70.0,1,37.41,24.9,115.32,NO_ACTION,target_instance_1,attack
75.0,1,42.01,24.85,91.09,NO_ACTION,target_instance_1,attack
80.0,1,31.62,24.98,94.71,NO_ACTION,target_instance_1,attack
85.0,1,25.89,24.97,84.63,NO_ACTION,target_instance_1,attack
90.0,1,23.68,24.98,97.46,NO_ACTION,target_instance_1,attack
95.0,1,27.62,24.74,115.82,NO_ACTION,target_instance_1,attack
100.0,1,22.76,25.31,92.06,NO_ACTION,target_instance_1,attack
105.0,1,37.75,25.11,94.86,NO_ACTION,target_instance_1,attack
110.0,1,31.11,24.87,111.45,NO_ACTION,target_instance_1,attack
115.0,1,29.89,24.99,94.55,NO_ACTION,target_instance_1,attack
120.0,1,20.92,25.16,90.86,NO_ACTION,target_instance_1,attack
125.0,1,30.14,25.0,97.72,NO_ACTION,target_instance_1,attack
130.0,1,30.42,24.75,132.68,NO_ACTION,target_instance_1,attack
135.0,1,49.42,25.01,112.16,NO_ACTION,target_instance_1,attack
140.0,1,42.32,24.85,87.44,NO_ACTION,target_instance_1,attack
145.0,1,31.49,25.0,108.54,NO_ACTION,target_instance_1,attack
150.0,1,39.08,24.76,106.32,NO_ACTION,target_instance_1,attack
155.0,1,37.67,24.89,151.02,NO_ACTION,target_instance_1,attack
160.0,1,23.33,25.0,95.19,NO_ACTION,target_instance_1,attack
165.0,1,28.89,25.08,27.37,NO_ACTION,target_instance_1,normal
170.0,1,19.48,24.64,26.97,NO_ACTION,target_instance_1,normal
175.0,1,20.75,24.64,26.87,NO_ACTION,target_instance_1,normal
