elapsed_time_s,num_instances,average_cpu_percent,mem_usage,avg_rtt_ms,decision,active_containers_names,label
0.02,1,0.0,0.0,0.0,NO_ACTION,,normal
5.0,1,19.74,22.48,26.92,NO_ACTION,target_instance_1,normal
10.0,1,21.5,23.06,25.19,NO_ACTION,target_instance_1,normal
15.0,1,22.57,23.1,27.73,NO_ACTION,target_instance_1,normal
20.0,1,19.61,23.1,25.77,NO_ACTION,target_instance_1,normal
25.0,1,32.2,25.5,204.6,NO_ACTION,target_instance_1,attack
30.01,1,32.63,25.65,142.92,NO_ACTION,target_instance_1,attack
35.0,1,41.72,25.56,148.7,NO_ACTION,target_instance_1,attack
40.0,1,33.82,25.71,107.3,NO_ACTION,target_instance_1,attack
45.0,1,30.33,25.49,125.72,NO_ACTION,target_instance_1,attack
50.0,2,61.39,25.75,148.19,SCALE_UP,target_instance_1,attack
55.0,2,56.48,25.74,207.18,NO_ACTION,target_instance_1,attack
60.0,2,21.5,23.4,121.24,NO_ACTION,"target_instance_2,target_instance_1",attack
65.0,2,18.8,23.41,126.92,NO_ACTION,"target_instance_2,target_instance_1",attack
70.0,1,11.64,22.7,141.88,SCALE_DOWN,"target_instance_2,target_instance_1",attack
77.02,1,33.46,25.89,126.66,NO_ACTION,target_instance_1,attack
80.0,1,32.08,25.7,207.74,NO_ACTION,target_instance_1,attack
85.0,1,60.5,25.93,137.71,NO_ACTION,target_instance_1,attack
90.0,1,29.96,25.96,138.47,NO_ACTION,target_instance_1,attack
95.0,1,30.24,25.86,134.46,NO_ACTION,target_instance_1,attack
100.0,1,32.03,26.24,136.87,NO_ACTION,target_instance_1,attack
105.0,1,31.97,25.99,116.74,NO_ACTION,target_instance_1,attack
110.0,1,33.83,25.86,120.06,NO_ACTION,target_instance_1,attack
115.0,1,44.61,26.23,128.53,NO_ACTION,target_instance_1,attack
120.0,1,28.12,26.15,145.44,NO_ACTION,target_instance_1,attack
125.0,1,54.71,26.04,160.58,NO_ACTION,target_instance_1,attack
130.0,1,29.24,25.93,142.61,NO_ACTION,target_instance_1,attack
135.0,1,27.5,25.93,141.28,NO_ACTION,target_instance_1,attack
140.0,1,43.69,25.9,178.93,NO_ACTION,target_instance_1,attack
145.0,1,44.76,25.93,127.98,NO_ACTION,target_instance_1,attack
150.0,1,31.96,25.92,109.59,NO_ACTION,target_instance_1,attack
155.0,1,24.77,26.05,108.36,NO_ACTION,target_instance_1,attack
160.0,1,31.6,26.17,132.53,NO_ACTION,target_instance_1,attack
165.0,1,37.3,26.01,27.3,NO_ACTION,target_instance_1,normal
170.0,1,21.5,25.9,27.76,NO_ACTION,target_instance_1,normal
175.0,1,23.22,25.8,27.34,NO_ACTION,target_instance_1,normal
