elapsed_time_s,num_instances,average_cpu_percent,mem_usage,avg_rtt_ms,decision,active_containers_names,label
0.02,1,0.0,0.0,0.0,NO_ACTION,,normal
5.0,1,49.82,23.54,36.02,NO_ACTION,target_instance_1,normal
10.0,1,38.11,23.65,33.79,NO_ACTION,target_instance_1,normal
15.0,1,41.17,23.82,33.72,NO_ACTION,target_instance_1,normal
20.0,1,42.52,23.73,32.87,NO_ACTION,target_instance_1,normal
25.0,2,227.94,30.71,541.76,SCALE_UP,target_instance_1,attack
30.0,2,211.79,31.67,1212.96,NO_ACTION,target_instance_1,attack
35.01,2,205.43,27.07,826.56,NO_ACTION,"target_instance_1,target_instance_2",attack
40.03,2,183.38,26.81,345.37,NO_ACTION,"target_instance_1,target_instance_2",attack
45.0,3,178.26,27.37,485.02,SCALE_UP,"target_instance_1,target_instance_2",attack
50.0,3,156.49,25.18,554.99,NO_ACTION,"target_instance_1,target_instance_2",attack
55.01,3,165.79,26.72,386.03,NO_ACTION,"target_instance_1,target_instance_2",attack
60.0,3,153.95,24.74,369.8,NO_ACTION,"target_instance_3,target_instance_1,target_instance_2",attack
65.0,4,209.54,24.96,439.69,SCALE_UP,"target_instance_3,target_instance_1,target_instance_2",attack
70.0,4,136.95,24.64,470.59,NO_ACTION,"target_instance_3,target_instance_1,target_instance_2",attack
75.0,4,71.94,24.15,180.89,NO_ACTION,"target_instance_3,target_instance_1,target_instance_2",attack
80.0,4,70.58,23.48,189.1,NO_ACTION,"target_instance_3,target_instance_1,target_instance_4,target_instance_2",attack
85.0,4,84.94,23.55,299.82,NO_ACTION,"target_instance_3,target_instance_1,target_instance_4,target_instance_2",attack
90.01,4,66.4,23.55,135.98,NO_ACTION,"target_instance_3,target_instance_1,target_instance_4,target_instance_2",attack
95.0,4,73.95,23.57,203.5,NO_ACTION,"target_instance_3,target_instance_1,target_instance_4,target_instance_2",attack
100.0,4,93.16,23.47,178.51,NO_ACTION,"target_instance_3,target_instance_1,target_instance_4,target_instance_2",attack
105.0,4,97.89,23.54,180.6,NO_ACTION,"target_instance_3,target_instance_1,target_instance_4,target_instance_2",attack
110.0,4,71.72,23.54,195.49,NO_ACTION,"target_instance_3,target_instance_1,target_instance_4,target_instance_2",attack
115.0,4,66.74,23.63,241.93,NO_ACTION,"target_instance_3,target_instance_1,target_instance_4,target_instance_2",attack
120.0,4,88.23,23.66,146.06,NO_ACTION,"target_instance_3,target_instance_1,target_instance_4,target_instance_2",attack
125.08,4,88.14,23.47,230.45,NO_ACTION,"target_instance_3,target_instance_1,target_instance_4,target_instance_2",attack
130.0,4,107.25,23.46,194.27,NO_ACTION,"target_instance_3,target_instance_1,target_instance_4,target_instance_2",attack
135.0,4,102.27,23.47,266.63,NO_ACTION,"target_instance_3,target_instance_1,target_instance_4,target_instance_2",attack
140.0,4,75.84,23.59,213.3,NO_ACTION,"target_instance_3,target_instance_1,target_instance_4,target_instance_2",attack
145.0,4,67.06,23.58,215.33,NO_ACTION,"target_instance_3,target_instance_1,target_instance_4,target_instance_2",attack
150.0,4,70.54,23.71,157.37,NO_ACTION,"target_instance_3,target_instance_1,target_instance_4,target_instance_2",attack
155.0,4,90.2,23.52,222.73,NO_ACTION,"target_instance_3,target_instance_1,target_instance_4,target_instance_2",attack
160.0,4,75.99,23.52,153.47,NO_ACTION,"target_instance_3,target_instance_1,target_instance_4,target_instance_2",attack
165.0,4,40.01,23.54,38.82,NO_ACTION,"target_instance_3,target_instance_1,target_instance_4,target_instance_2",normal
170.0,3,13.75,23.43,37.12,SCALE_DOWN,"target_instance_3,target_instance_1,target_instance_4,target_instance_2",normal
175.72,3,18.44,24.12,37.88,NO_ACTION,"target_instance_3,target_instance_1,target_instance_2",normal
