elapsed_time_s,num_instances,average_cpu_percent,mem_usage,avg_rtt_ms,decision,active_containers_names,label,host_cpu_percent
0.0,1,0.0,0.0,0.0,NO_ACTION,,normal,0.0
5.0,1,14.78,11.1,1.98,NO_ACTION,target_instance_1,normal,5.0
10.0,1,14.42,11.02,2.26,NO_ACTION,target_instance_1,normal,5.05
15.0,1,16.48,11.16,2.04,NO_ACTION,target_instance_1,normal,5.62
20.0,1,14.87,11.09,1.85,NO_ACTION,target_instance_1,normal,5.75
25.0,1,23.51,11.18,45.62,NO_ACTION,target_instance_1,attack,5.65
30.0,1,17.8,11.26,29.36,NO_ACTION,target_instance_1,attack,5.7
35.0,1,22.9,11.25,26.17,NO_ACTION,target_instance_1,attack,6.0
40.0,1,16.35,11.19,24.21,NO_ACTION,target_instance_1,attack,5.21
45.0,1,18.59,11.22,24.44,NO_ACTION,target_instance_1,attack,5.39
50.0,1,19.79,11.18,25.74,NO_ACTION,target_instance_1,attack,5.51
55.0,1,19.87,11.23,25.45,NO_ACTION,target_instance_1,attack,5.81
60.0,1,17.6,11.24,24.65,NO_ACTION,target_instance_1,attack,6.5
65.0,1,19.27,11.21,24.88,NO_ACTION,target_instance_1,attack,6.34
70.0,1,21.45,11.22,26.83,NO_ACTION,target_instance_1,attack,5.85
75.0,1,18.85,11.22,27.35,NO_ACTION,target_instance_1,attack,6.03
80.0,1,20.41,11.2,30.06,NO_ACTION,target_instance_1,attack,5.28
85.0,1,20.24,11.2,24.91,NO_ACTION,target_instance_1,attack,5.59
90.0,1,17.67,11.27,24.22,NO_ACTION,target_instance_1,attack,4.82
95.0,1,19.02,11.21,28.7,NO_ACTION,target_instance_1,attack,5.36
100.0,1,22.89,11.17,28.41,NO_ACTION,target_instance_1,attack,6.64
105.0,1,19.5,11.2,26.12,NO_ACTION,target_instance_1,attack,5.0
110.0,1,20.13,11.29,27.84,NO_ACTION,target_instance_1,attack,6.71
115.0,1,19.47,11.24,24.97,NO_ACTION,target_instance_1,attack,5.67
120.0,1,20.45,11.23,25.27,NO_ACTION,target_instance_1,attack,5.92
125.0,1,18.16,11.18,26.13,NO_ACTION,target_instance_1,attack,5.43
130.0,1,19.21,11.23,24.16,NO_ACTION,target_instance_1,attack,6.17
135.0,1,20.04,11.21,26.66,NO_ACTION,target_instance_1,attack,6.38
140.0,1,16.62,11.23,27.21,NO_ACTION,target_instance_1,attack,6.35
145.0,1,18.12,11.23,23.3,NO_ACTION,target_instance_1,attack,5.22
150.0,1,15.84,11.28,24.28,NO_ACTION,target_instance_1,attack,4.7
155.0,1,17.22,11.2,25.57,NO_ACTION,target_instance_1,attack,4.84
160.0,1,20.89,11.27,23.33,NO_ACTION,target_instance_1,attack,5.43
165.0,1,15.39,11.26,1.83,NO_ACTION,target_instance_1,normal,5.25
170.0,1,14.38,11.28,1.93,NO_ACTION,target_instance_1,normal,4.98
175.0,1,14.89,11.22,1.89,NO_ACTION,target_instance_1,normal,4.83
