elapsed_time_s,num_instances,average_cpu_percent,mem_usage,avg_rtt_ms,decision,active_containers_names,label
0.02,1,0.0,0.0,0.0,NO_ACTION,,normal
5.0,1,43.26,23.24,34.36,NO_ACTION,target_instance_1,normal
10.0,1,37.36,23.61,33.92,NO_ACTION,target_instance_1,normal
15.0,1,44.4,23.71,33.18,NO_ACTION,target_instance_1,normal
20.0,1,36.82,23.81,33.69,NO_ACTION,target_instance_1,normal
25.0,2,63.37,24.84,113.77,SCALE_UP,target_instance_1,attack
30.0,2,128.46,25.98,210.45,NO_ACTION,target_instance_1,attack
35.0,2,22.98,23.46,112.87,NO_ACTION,"target_instance_2,target_instance_1",attack
40.0,2,22.26,22.87,88.69,NO_ACTION,"target_instance_2,target_instance_1",attack
45.0,2,27.71,23.61,125.28,NO_ACTION,"target_instance_2,target_instance_1",attack
50.0,2,36.73,23.62,140.81,NO_ACTION,"target_instance_2,target_instance_1",attack
55.0,3,63.03,23.91,113.68,SCALE_UP,"target_instance_2,target_instance_1",attack
60.0,3,53.98,24.43,152.52,NO_ACTION,"target_instance_2,target_instance_1",attack
65.0,3,30.32,22.8,118.09,NO_ACTION,"target_instance_2,target_instance_1,target_instance_3",attack
70.0,3,41.45,22.75,132.4,NO_ACTION,"target_instance_2,target_instance_1,target_instance_3",attack
75.0,3,33.87,22.91,89.34,NO_ACTION,"target_instance_2,target_instance_1,target_instance_3",attack
80.0,3,33.6,22.86,107.9,NO_ACTION,"target_instance_2,target_instance_1,target_instance_3",attack
85.0,3,26.03,22.86,126.32,NO_ACTION,"target_instance_2,target_instance_1,target_instance_3",attack
90.0,3,35.63,23.03,99.14,NO_ACTION,"target_instance_2,target_instance_1,target_instance_3",attack
95.01,3,26.37,23.03,110.4,NO_ACTION,"target_instance_2,target_instance_1,target_instance_3",attack
100.0,2,19.06,22.78,100.85,SCALE_DOWN,"target_instance_2,target_instance_1,target_instance_3",attack
107.01,2,39.77,23.88,124.15,NO_ACTION,"target_instance_2,target_instance_1",attack
110.0,2,36.11,22.93,160.43,NO_ACTION,"target_instance_2,target_instance_1",attack
115.0,2,33.37,24.1,114.35,NO_ACTION,"target_instance_2,target_instance_1",attack
120.0,3,64.21,25.09,131.84,SCALE_UP,"target_instance_2,target_instance_1",attack
125.0,3,48.42,24.2,185.69,NO_ACTION,"target_instance_2,target_instance_1",attack
130.0,3,38.02,23.12,110.89,NO_ACTION,"target_instance_2,target_instance_1,target_instance_4",attack
135.0,3,32.48,22.98,105.11,NO_ACTION,"target_instance_2,target_instance_1,target_instance_4",attack
140.0,2,24.91,23.17,114.04,SCALE_DOWN,"target_instance_2,target_instance_1,target_instance_4",attack
147.09,2,66.68,24.27,148.55,NO_ACTION,"target_instance_2,target_instance_1",attack
150.0,2,49.52,23.39,159.82,NO_ACTION,"target_instance_2,target_instance_1",attack
155.0,2,47.6,24.32,111.13,NO_ACTION,"target_instance_2,target_instance_1",attack
160.0,2,31.52,24.21,114.67,NO_ACTION,"target_instance_2,target_instance_1",attack
165.0,1,24.74,24.05,34.53,SCALE_DOWN,"target_instance_2,target_instance_1",normal
170.7,1,44.28,26.4,34.95,NO_ACTION,target_instance_1,normal
175.0,1,43.93,26.15,33.33,NO_ACTION,target_instance_1,normal
