num_attackers,rps_per_worker,planned_total_rps,num_targets,total_requests,elapsed_time_s,real_rps,errors
4,10.0,40.0,1,,,,
4,10.0,40.0,2,,,,
,10.0,,,39,9.095,4.288,32
,10.0,,,32,9.12,3.509,34
,10.0,,,29,9.153,3.169,33
,10.0,,,40,9.197,4.349,27
4,10.0,40.0,3,,,,
,10.0,,,0,23.392,0.0,192
,10.0,,,84,23.429,3.585,107
,10.0,,,95,23.442,4.053,103
,10.0,,,0,23.458,0.0,188
,10.0,,,167,20.017,8.343,0
4,10.0,40.0,4,,,,
,10.0,,,0,21.204,0.0,162
,10.0,,,45,21.374,2.105,151
,10.0,,,0,21.469,0.0,204
,10.0,,,925,91.725,10.085,0
,10.0,,,904,91.745,9.853,0
,10.0,,,900,91.758,9.808,0
,10.0,,,0,93.57,0.0,949
