num_attackers,rps_per_worker,planned_total_rps,num_targets,total_requests,elapsed_time_s,real_rps,errors
4,10.0,40.0,1,,,,
4,10.0,40.0,2,,,,
,10.0,,,58,8.237,7.042,0
,10.0,,,67,8.271,8.101,0
,10.0,,,67,8.299,8.073,1
,10.0,,,46,8.31,5.535,1
,10.0,,,173,19.286,8.97,0
,10.0,,,160,19.461,8.222,0
,10.0,,,199,19.528,10.191,0
,10.0,,,168,19.612,8.566,0
4,10.0,40.0,3,,,,
,10.0,,,197,20.275,9.716,0
,10.0,,,211,20.402,10.342,0
4,10.0,40.0,4,,,,
,10.0,,,124,21.656,5.726,57
,10.0,,,122,21.693,5.624,55
,10.0,,,955,91.382,10.451,0
,10.0,,,861,91.39,9.421,0
,10.0,,,907,91.64,9.897,0
,10.0,,,871,91.775,9.491,36
