num_attackers,rps_per_worker,planned_total_rps,num_targets,total_requests,elapsed_time_s,real_rps,errors
4,10.0,40.0,1,,,,
4,10.0,40.0,2,,,,
,10.0,,,10,9.205,1.086,60
,10.0,,,6,9.257,0.648,46
,10.0,,,12,9.281,1.293,47
,10.0,,,10,9.305,1.075,58
4,10.0,40.0,3,,,,
,10.0,,,15,24.297,0.617,169
,10.0,,,0,24.336,0.0,175
,10.0,,,7,24.356,0.287,176
,10.0,,,0,24.45,0.0,190
4,10.0,40.0,4,,,,
,10.0,,,0,28.546,0.0,187
,10.0,,,44,28.622,1.537,144
,10.0,,,0,28.678,0.0,209
,10.0,,,0,28.682,0.0,221
,10.0,,,16,117.68,0.136,825
,10.0,,,0,117.954,0.0,921
,10.0,,,0,119.641,0.0,926
,10.0,,,0,119.657,0.0,887
