elapsed_time_s,num_instances,average_cpu_percent,mem_usage,avg_rtt_ms,decision,active_containers_names,label
0.02,1,0.0,0.0,0.0,NO_ACTION,,normal
5.0,1,11.39,23.31,16.72,NO_ACTION,target_instance_1,normal
10.0,1,9.68,23.52,15.67,NO_ACTION,target_instance_1,normal
15.0,1,8.41,23.66,17.02,NO_ACTION,target_instance_1,normal
20.0,1,8.05,23.7,17.06,NO_ACTION,target_instance_1,normal
25.0,2,217.33,28.83,629.12,SCALE_UP,target_instance_1,attack
30.0,2,213.39,32.82,1107.59,NO_ACTION,target_instance_1,attack
35.01,2,204.07,27.97,1137.59,NO_ACTION,"target_instance_2,target_instance_1",attack
40.0,2,205.71,27.8,1761.39,NO_ACTION,"target_instance_2,target_instance_1",attack
45.0,3,211.69,30.68,1755.69,SCALE_UP,"target_instance_2,target_instance_1",attack
50.0,3,200.76,31.16,1576.17,NO_ACTION,"target_instance_2,target_instance_1",attack
55.0,3,178.49,27.83,432.07,NO_ACTION,"target_instance_2,target_instance_1,target_instance_3",attack
60.0,3,177.2,29.17,880.4,NO_ACTION,"target_instance_2,target_instance_1,target_instance_3",attack
65.0,4,193.55,33.09,669.83,SCALE_UP,"target_instance_2,target_instance_1,target_instance_3",attack
70.0,4,187.82,32.83,450.91,NO_ACTION,"target_instance_2,target_instance_1,target_instance_3",attack
75.0,4,179.54,32.75,514.53,NO_ACTION,"target_instance_2,target_instance_1,target_instance_3",attack
80.0,4,154.39,27.87,240.91,NO_ACTION,"target_instance_2,target_instance_4,target_instance_1,target_instance_3",attack
85.0,4,154.33,27.87,247.89,NO_ACTION,"target_instance_2,target_instance_4,target_instance_1,target_instance_3",attack
90.0,4,96.5,25.83,150.46,NO_ACTION,"target_instance_2,target_instance_4,target_instance_1,target_instance_3",attack
95.0,4,74.39,25.83,356.63,NO_ACTION,"target_instance_2,target_instance_4,target_instance_1,target_instance_3",attack
100.0,4,90.73,25.84,195.05,NO_ACTION,"target_instance_2,target_instance_4,target_instance_1,target_instance_3",attack
105.0,4,85.52,25.9,176.73,NO_ACTION,"target_instance_2,target_instance_4,target_instance_1,target_instance_3",attack
110.0,4,80.14,25.9,145.74,NO_ACTION,"target_instance_2,target_instance_4,target_instance_1,target_instance_3",attack
115.0,4,92.19,25.85,212.88,NO_ACTION,"target_instance_2,target_instance_4,target_instance_1,target_instance_3",attack
120.0,4,98.26,25.99,181.39,NO_ACTION,"target_instance_2,target_instance_4,target_instance_1,target_instance_3",attack
125.0,4,96.75,25.92,241.07,NO_ACTION,"target_instance_2,target_instance_4,target_instance_1,target_instance_3",attack
130.01,4,85.58,25.92,155.3,NO_ACTION,"target_instance_2,target_instance_4,target_instance_1,target_instance_3",attack
135.0,4,109.44,25.91,293.01,NO_ACTION,"target_instance_2,target_instance_4,target_instance_1,target_instance_3",attack
140.0,4,117.37,25.97,185.71,NO_ACTION,"target_instance_2,target_instance_4,target_instance_1,target_instance_3",attack
145.0,4,115.29,25.91,208.71,NO_ACTION,"target_instance_2,target_instance_4,target_instance_1,target_instance_3",attack
150.01,4,136.33,25.99,286.92,NO_ACTION,"target_instance_2,target_instance_4,target_instance_1,target_instance_3",attack
155.0,4,125.54,25.93,290.89,NO_ACTION,"target_instance_2,target_instance_4,target_instance_1,target_instance_3",attack
160.0,4,108.48,25.93,189.02,NO_ACTION,"target_instance_2,target_instance_4,target_instance_1,target_instance_3",attack
165.0,4,92.45,26.12,0.0,NO_ACTION,"target_instance_2,target_instance_4,target_instance_1,target_instance_3",normal
170.0,4,32.08,25.88,0.0,NO_ACTION,"target_instance_2,target_instance_4,target_instance_1,target_instance_3",normal
175.0,3,7.55,25.58,0.0,SCALE_DOWN,"target_instance_2,target_instance_4,target_instance_1,target_instance_3",normal
