elapsed_time_s,num_instances,average_cpu_percent,mem_usage,avg_rtt_ms,decision,active_containers_names,label
0.02,1,0.0,0.0,0.0,NO_ACTION,,normal
5.0,1,6.91,22.2,18.08,NO_ACTION,target_instance_1,normal
10.0,1,7.9,22.34,16.43,NO_ACTION,target_instance_1,normal
15.0,1,7.69,22.43,16.76,NO_ACTION,target_instance_1,normal
20.0,1,7.32,22.43,14.92,NO_ACTION,target_instance_1,normal
25.0,2,212.22,28.66,725.08,SCALE_UP,target_instance_1,attack
30.0,2,210.59,31.88,1137.39,NO_ACTION,target_instance_1,attack
35.0,2,172.0,26.09,442.82,NO_ACTION,"target_instance_2,target_instance_1",attack
40.0,2,155.43,25.22,140.62,NO_ACTION,"target_instance_2,target_instance_1",attack
45.0,3,173.46,26.17,319.4,SCALE_UP,"target_instance_2,target_instance_1",attack
50.0,3,174.25,26.4,392.62,NO_ACTION,"target_instance_2,target_instance_1",attack
55.0,3,170.28,26.25,481.8,NO_ACTION,"target_instance_2,target_instance_1",attack
60.0,3,154.37,25.01,630.32,NO_ACTION,"target_instance_2,target_instance_3,target_instance_1",attack
65.0,4,177.02,25.51,782.28,SCALE_UP,"target_instance_2,target_instance_3,target_instance_1",attack
70.0,4,199.44,25.79,515.3,NO_ACTION,"target_instance_2,target_instance_3,target_instance_1",attack
75.0,4,162.57,26.94,447.69,NO_ACTION,"target_instance_2,target_instance_3,target_instance_1",attack
80.0,4,159.67,25.1,544.51,NO_ACTION,"target_instance_4,target_instance_2,target_instance_3,target_instance_1",attack
85.0,4,152.92,25.03,352.61,NO_ACTION,"target_instance_4,target_instance_2,target_instance_3,target_instance_1",attack
90.0,4,148.02,24.48,239.9,NO_ACTION,"target_instance_4,target_instance_2,target_instance_3,target_instance_1",attack
95.0,4,140.33,24.42,343.8,NO_ACTION,"target_instance_4,target_instance_2,target_instance_3,target_instance_1",attack
100.0,4,168.7,24.48,235.95,NO_ACTION,"target_instance_4,target_instance_2,target_instance_3,target_instance_1",attack
105.0,4,160.3,24.34,284.2,NO_ACTION,"target_instance_4,target_instance_2,target_instance_3,target_instance_1",attack
110.0,4,144.79,24.4,178.28,NO_ACTION,"target_instance_4,target_instance_2,target_instance_3,target_instance_1",attack
115.0,4,141.14,24.49,448.34,NO_ACTION,"target_instance_4,target_instance_2,target_instance_3,target_instance_1",attack
120.0,4,144.39,24.46,197.41,NO_ACTION,"target_instance_4,target_instance_2,target_instance_3,target_instance_1",attack
125.0,4,127.06,24.44,206.91,NO_ACTION,"target_instance_4,target_instance_2,target_instance_3,target_instance_1",attack
130.0,4,117.82,24.38,199.0,NO_ACTION,"target_instance_4,target_instance_2,target_instance_3,target_instance_1",attack
135.0,4,148.09,24.44,598.24,NO_ACTION,"target_instance_4,target_instance_2,target_instance_3,target_instance_1",attack
140.0,4,173.54,24.7,274.67,NO_ACTION,"target_instance_4,target_instance_2,target_instance_3,target_instance_1",attack
145.0,4,140.04,24.63,225.6,NO_ACTION,"target_instance_4,target_instance_2,target_instance_3,target_instance_1",attack
150.0,4,95.59,24.63,155.0,NO_ACTION,"target_instance_4,target_instance_2,target_instance_3,target_instance_1",attack
155.0,4,131.48,24.63,323.22,NO_ACTION,"target_instance_4,target_instance_2,target_instance_3,target_instance_1",attack
160.0,4,174.68,24.71,625.11,NO_ACTION,"target_instance_4,target_instance_2,target_instance_3,target_instance_1",attack
165.0,4,143.28,24.71,174.58,NO_ACTION,"target_instance_4,target_instance_2,target_instance_3,target_instance_1",normal
170.0,3,3.17,24.24,13.31,SCALE_DOWN,"target_instance_4,target_instance_2,target_instance_3,target_instance_1",normal
175.62,3,3.78,24.96,15.96,NO_ACTION,"target_instance_2,target_instance_3,target_instance_1",normal
