elapsed_time_s,num_instances,average_cpu_percent,mem_usage,avg_rtt_ms,decision,active_containers_names,label
0.01,1,0.0,0.0,0.0,NO_ACTION,,normal
5.0,1,8.65,22.52,17.64,NO_ACTION,target_instance_1,normal
10.0,1,6.11,22.32,17.35,NO_ACTION,target_instance_1,normal
15.0,1,7.82,22.19,16.77,NO_ACTION,target_instance_1,normal
20.0,1,8.37,22.11,17.27,NO_ACTION,target_instance_1,normal
25.0,1,27.45,22.89,59.9,NO_ACTION,target_instance_1,attack
30.0,1,26.66,22.91,43.52,NO_ACTION,target_instance_1,attack
35.0,1,19.76,22.84,46.68,NO_ACTION,target_instance_1,attack
40.0,1,21.37,23.15,45.01,NO_ACTION,target_instance_1,attack
45.0,1,16.22,23.12,45.06,NO_ACTION,target_instance_1,attack
50.0,1,22.62,23.02,42.81,NO_ACTION,target_instance_1,attack
55.0,1,21.06,23.46,45.09,NO_ACTION,target_instance_1,attack
60.0,1,23.56,23.45,40.57,NO_ACTION,target_instance_1,attack
65.0,1,19.24,23.38,39.5,NO_ACTION,target_instance_1,attack
70.0,1,19.99,23.54,47.0,NO_ACTION,target_instance_1,attack
75.0,1,22.83,23.39,45.39,NO_ACTION,target_instance_1,attack
80.0,1,26.09,23.4,39.27,NO_ACTION,target_instance_1,attack
85.0,1,23.12,23.4,41.54,NO_ACTION,target_instance_1,attack
90.0,1,25.92,23.23,39.39,NO_ACTION,target_instance_1,attack
95.0,1,25.16,23.28,50.61,NO_ACTION,target_instance_1,attack
100.0,1,30.21,23.52,41.66,NO_ACTION,target_instance_1,attack
105.0,1,29.32,23.28,46.56,NO_ACTION,target_instance_1,attack
110.0,1,26.06,23.4,40.65,NO_ACTION,target_instance_1,attack
115.0,1,15.78,23.4,41.5,NO_ACTION,target_instance_1,attack
120.0,1,25.02,23.27,43.16,NO_ACTION,target_instance_1,attack
125.0,1,26.75,23.48,46.68,NO_ACTION,target_instance_1,attack
130.0,1,21.82,23.6,41.13,NO_ACTION,target_instance_1,attack
135.0,1,27.29,23.36,45.95,NO_ACTION,target_instance_1,attack
140.0,1,29.58,23.48,41.51,NO_ACTION,target_instance_1,attack
145.0,1,27.63,23.36,42.36,NO_ACTION,target_instance_1,attack
150.0,1,20.02,23.36,37.89,NO_ACTION,target_instance_1,attack
155.0,1,17.54,23.49,44.28,NO_ACTION,target_instance_1,attack
160.0,1,30.49,23.41,48.91,NO_ACTION,target_instance_1,attack
165.0,1,8.72,23.21,16.22,NO_ACTION,target_instance_1,normal
170.0,1,7.41,23.09,13.96,NO_ACTION,target_instance_1,normal
175.0,1,9.04,23.33,17.91,NO_ACTION,target_instance_1,normal
