elapsed_time_s,num_instances,average_cpu_percent,mem_usage,avg_rtt_ms,decision,active_containers_names,label,host_cpu_percent
0.01,1,0.0,0.0,0.0,NO_ACTION,,normal,0.0
5.0,1,7.85,22.37,17.05,NO_ACTION,target_instance_1,normal,5.34
10.0,1,7.48,22.24,18.1,NO_ACTION,target_instance_1,normal,4.32
15.0,1,7.62,22.43,15.23,NO_ACTION,target_instance_1,normal,5.11
20.0,1,7.53,22.43,16.89,NO_ACTION,target_instance_1,normal,5.09
25.0,2,195.74,25.82,410.73,SCALE_UP,target_instance_1,attack,38.61
30.0,2,201.16,28.59,801.16,NO_ACTION,target_instance_1,attack,53.43
35.0,2,101.38,24.88,218.07,NO_ACTION,"target_instance_1,target_instance_2",attack,47.0
40.0,2,192.79,24.32,268.94,NO_ACTION,"target_instance_1,target_instance_2",attack,50.9
45.0,3,202.8,26.48,1160.0,SCALE_UP,"target_instance_1,target_instance_2",attack,65.1
50.0,3,205.21,26.49,956.35,NO_ACTION,"target_instance_1,target_instance_2",attack,79.96
55.0,3,124.13,24.8,895.82,NO_ACTION,"target_instance_3,target_instance_1,target_instance_2",attack,61.69
60.0,3,139.97,25.06,624.77,NO_ACTION,"target_instance_3,target_instance_1,target_instance_2",attack,66.32
65.0,4,163.79,25.31,783.71,SCALE_UP,"target_instance_3,target_instance_1,target_instance_2",attack,71.16
70.0,4,122.2,25.1,490.29,NO_ACTION,"target_instance_3,target_instance_1,target_instance_2",attack,82.9
75.0,4,131.63,24.73,553.98,NO_ACTION,"target_instance_3,target_instance_1,target_instance_2",attack,83.41
80.0,4,150.68,24.15,669.34,NO_ACTION,"target_instance_3,target_instance_4,target_instance_1,target_instance_2",attack,86.53
85.0,4,132.08,24.17,511.55,NO_ACTION,"target_instance_3,target_instance_4,target_instance_1,target_instance_2",attack,85.51
90.0,4,138.06,24.17,296.78,NO_ACTION,"target_instance_3,target_instance_4,target_instance_1,target_instance_2",attack,61.97
95.0,4,80.12,24.18,269.64,NO_ACTION,"target_instance_3,target_instance_4,target_instance_1,target_instance_2",attack,58.61
100.0,4,94.2,24.19,398.67,NO_ACTION,"target_instance_3,target_instance_4,target_instance_1,target_instance_2",attack,72.41
105.0,4,140.27,24.13,562.97,NO_ACTION,"target_instance_3,target_instance_4,target_instance_1,target_instance_2",attack,72.66
110.01,4,170.81,24.14,345.56,NO_ACTION,"target_instance_3,target_instance_4,target_instance_1,target_instance_2",attack,72.93
115.0,4,162.73,24.2,344.49,NO_ACTION,"target_instance_3,target_instance_4,target_instance_1,target_instance_2",attack,77.34
120.0,4,124.36,24.33,340.46,NO_ACTION,"target_instance_3,target_instance_4,target_instance_1,target_instance_2",attack,74.46
125.0,4,133.83,24.21,567.61,NO_ACTION,"target_instance_3,target_instance_4,target_instance_1,target_instance_2",attack,91.1
130.0,4,134.83,24.15,294.6,NO_ACTION,"target_instance_3,target_instance_4,target_instance_1,target_instance_2",attack,56.3
135.0,4,121.35,24.21,280.3,NO_ACTION,"target_instance_3,target_instance_4,target_instance_1,target_instance_2",attack,57.54
140.0,4,85.08,24.27,222.5,NO_ACTION,"target_instance_3,target_instance_4,target_instance_1,target_instance_2",attack,54.92
145.0,4,93.48,24.21,341.37,NO_ACTION,"target_instance_3,target_instance_4,target_instance_1,target_instance_2",attack,70.93
150.0,4,104.14,24.15,232.32,NO_ACTION,"target_instance_3,target_instance_4,target_instance_1,target_instance_2",attack,56.22
155.0,4,94.08,24.21,396.49,NO_ACTION,"target_instance_3,target_instance_4,target_instance_1,target_instance_2",attack,76.38
160.0,4,108.66,24.27,309.0,NO_ACTION,"target_instance_3,target_instance_4,target_instance_1,target_instance_2",attack,61.6
165.0,4,81.1,24.11,18.58,NO_ACTION,"target_instance_3,target_instance_4,target_instance_1,target_instance_2",normal,9.78
170.0,3,1.59,23.89,16.84,SCALE_DOWN,"target_instance_3,target_instance_4,target_instance_1,target_instance_2",normal,6.26
175.71,3,2.48,24.48,17.44,NO_ACTION,"target_instance_3,target_instance_1,target_instance_2",normal,25.0
