window,start_time,end_time,entropy,std_dev,volume,label
0,0,5,0.07767355915135514,0.018843892789737242,1902,benign
1,5,10,0.07835307401780589,0.010840613410037914,2856,benign
2,10,15,0.0788860872833339,0.011306726830665916,2786,benign
3,15,20,0.08239815741951734,0.010671708241307205,2776,benign
4,20,25,0.1574384056764569,0.014467222663003699,1968,attack
5,25,30,0.12224349780103708,0.011471160198413762,2408,benign
6,30,35,0.06476818531969925,0.019351829892285476,2390,benign
7,35,40,0.07615959444238143,0.011433435431761793,2804,benign
8,40,45,0.097786114689864,0.01073994854006602,2865,attack
9,45,50,0.08416589589874093,0.008141169386291017,3065,benign
10,50,55,0.07721270289676738,0.010964438995482429,2794,benign
11,55,60,0.09614535414100063,0.009280377251685828,2802,benign
12,60,65,0.07364316336088948,0.006753423597100813,3464,attack
13,65,70,0.017834778955101986,0.01236862652061887,3430,attack
14,70,75,0.07444550099677898,0.011556535020174648,2796,benign
15,75,80,0.0827801850016398,0.011113279980717542,2796,benign
16,80,85,0.04661409642312973,0.008674463273207802,3494,attack
17,85,90,0.13141504099895243,0.00045183924746508954,5153,attack
18,90,95,0.025810400110351024,0.004286006720035925,4502,benign
19,95,100,0.07938256339763472,0.010961549590093777,2577,benign
20,100,105,0.06771497305637761,0.01805339208579721,2660,benign
21,105,110,0.08637627981294627,0.011575879388197803,2634,benign
22,110,115,0.10573830350471572,0.014980536814371075,2106,benign
23,115,120,0.1043686808096673,0.01426172318005587,2162,benign
24,120,125,0.10466453872674314,0.014265402636632422,2142,benign
25,125,130,0.11549023102648602,0.015258095733783887,1964,benign
26,130,135,0.13098058641188154,0.029337826725599918,1276,benign
27,135,140,0.13786623997689249,0.020655959087290253,1476,benign
28,140,145,0.14837263167123613,0.020720916781873676,1464,benign
29,145,150,0.1477750273756792,0.021619673584671466,1416,benign
30,150,155,0.234432228827539,0.03236680135241129,812,benign
31,155,160,0.2477828180572545,0.0308586644039028,816,benign
32,160,165,0.21596683080464218,0.033697358505895905,818,benign
33,165,170,0.19727372942107047,0.04876377218106576,694,benign
34,170,175,0.22443820181784194,0.034113774334846275,806,benign
35,175,180,0.2319758054044831,0.03241723428172918,816,benign
36,180,185,0.23887423286108525,0.03152879958239249,831,benign
