rep,janela_inicio_s,n_requisicoes
1,0.0,0
1,0.25,0
1,0.5,0
1,0.75,0
1,1.0,0
1,1.25,1
1,1.5,12
1,1.75,14
1,2.0,2
1,2.25,5
1,2.5,8
1,2.75,6
1,3.0,4
1,3.25,8
1,3.5,10
1,3.75,19
1,4.0,14
1,4.25,11
1,4.5,12
1,4.75,11
1,5.0,19
1,5.25,11
1,5.5,14
1,5.75,13
4,0.0,0
4,0.25,0
4,0.5,0
4,0.75,0
4,1.0,0
4,1.25,0
4,1.5,1
4,1.75,2
4,2.0,3
4,2.25,2
4,2.5,1
4,2.75,2
4,3.0,2
4,3.25,2
4,3.5,1
4,3.75,1
4,4.0,1
4,4.25,0
4,4.5,2
4,4.75,1
4,5.0,1
4,5.25,2
4,5.5,2
4,5.75,1
5,0.0,0
5,0.25,0
5,0.5,0
5,0.75,0
5,1.0,0
5,1.25,2
5,1.5,14
5,1.75,12
5,2.0,8
5,2.25,6
5,2.5,9
5,2.75,6
5,3.0,10
5,3.25,14
5,3.5,12
5,3.75,16
5,4.0,18
5,4.25,19
5,4.5,10
5,4.75,15
5,5.0,9
5,5.25,12
5,5.5,15
5,5.75,18
