rep,escalou,janela_inicio_s,n_requisicoes
1,False,15.0,4
1,False,15.25,13
1,False,15.5,3
1,False,15.75,2
1,False,16.0,3
1,False,16.25,5
1,False,16.5,5
1,False,16.75,4
1,False,17.0,6
1,False,17.25,12
1,False,17.5,5
1,False,17.75,10
1,False,18.0,6
1,False,18.25,2
1,False,18.5,2
1,False,18.75,4
1,False,19.0,12
1,False,19.25,6
1,False,19.5,24
1,False,19.75,20
1,False,20.0,30
1,False,20.25,32
1,False,20.5,31
1,False,20.75,26
4,True,60.0,46
4,True,60.25,47
4,True,60.5,7
4,True,60.75,6
4,True,61.0,6
4,True,61.25,4
4,True,61.5,6
4,True,61.75,4
4,True,62.0,6
4,True,62.25,2
4,True,62.5,2
4,True,62.75,7
4,True,63.0,8
4,True,63.25,6
4,True,63.5,14
4,True,63.75,11
4,True,64.0,8
4,True,64.25,7
4,True,64.5,2
4,True,64.75,2
4,True,65.0,15
4,True,65.25,24
4,True,65.5,23
4,True,65.75,35
5,True,160.0,31
5,True,160.25,24
5,True,160.5,9
5,True,160.75,11
5,True,161.0,8
5,True,161.25,11
5,True,161.5,3
5,True,161.75,5
5,True,162.0,5
5,True,162.25,2
5,True,162.5,5
5,True,162.75,12
5,True,163.0,8
5,True,163.25,4
5,True,163.5,4
5,True,163.75,3
5,True,164.0,6
5,True,164.25,5
5,True,164.5,3
5,True,164.75,2
5,True,165.0,8
5,True,165.25,8
5,True,165.5,4
5,True,165.75,2
