window,start_time,end_time,entropy_rtt,std_rtt,volume
0,0,20,0.44794166624220405,1.9738390281745049,320
1,20,40,0.3113267691336215,137.56618990076626,275
2,40,60,0.4102118012742714,110.69100361568682,310
3,60,80,0.5189485116805839,86.80771463797365,362
4,80,100,0.6427956675828563,62.70086371530064,445
5,100,120,0.361803060079204,1.9549821018024478,269
6,120,140,0.5647255512765679,2.2088697516672378,183
7,140,160,0.5927426038594513,1.914087715870968,109
8,160,180,0.48492731822173385,1.727839216996634,80
9,180,200,0.7590894698245478,0.7096377260528919,14
